,pos_words,count,documents
0,감사,1334,"['제가 다양한 의견을 접할 수 있도록 댓글 써 주신 분들에게 감사드립니다. 제가 모르고 있던 현장의 상황이나 여러 측면의 의견을 알게 되었습니다. 감사합니다.', 'moonlight 감사합니다. 진짜 뒷꿈치가 불타듯 아픈데 이게 맞는거져? 운전하고 내릴때.그 첫발 디딜때.ㅠㅠ 꼭 사봐야겠어요. 감사합니다.', '냇시조니 감사합니다. 딴지덕분에 김남국이라는 형님의 진면목을 알게 되어서 너무 감사합니다. 작성자 티 20210414 2347']"
1,지지,661,"['민주당을 지지하는 이유는 상식적인 세상을 바라는 겁니다. 지들 당리당략에 억울한 분들을 저버리는놈들을 뭐한다 고 지지합니까? 그냥 내 이익따라서 국짐당이나 지지하지.', '적극 지지 책임론?소극 지지했어야 했다는 말인가?아님 저 쪽을 지지했어야 했나?뭔 말같지도 않은 말을.아무따나 주디 나오는 대로 지끼는 것들은 걍 쌩까야 함', '민주당은 그동안 나아지기만 했는데뭔 평생 지지했다는 분이 요즘 흔들리나요분탕질 좀 적당히 치시죠민주당이 과거에 어땠는지 평생 지지해놓고도 모르나요?님이 10살이면 인정합니다']"
2,좋아하다,530,"['빵꾸뿡뿡 내 뜻이 이렇다고 밝힐 자유는 있습니다. 이낙연 좋아하고 싫어하듯이.이재명 좋아하고 싫어하듯이.이낙연이재명 둘 다 아니라고 할 자유도 있습니다. 존중해 주십시오.', '마지막은 2030이 졸라 좋아하는 캐릭터 아닌가?2030 의 희망같더만.아닌가 저 캐릭터들 다 좋아하나?2030 의 인생 롤모델인가?', 'i need to be in love 이 곡을 좋아합니다. 일본 드라마에 삽입되서 일본인들이 특히 좋아한다 고']"
