,neg_words,count,documents
10,비싸다,2766,"['거기가 정산이라는 사람들박그네 패션외교 치켜세우는 데 실소가 나왔어요 이명박이 세금은 안올렸다고 그게 정상적인 사고인가요? 세금 안올리고 도둑질만 했죠이명박이는.', '사다버그님 아니에요.지금 계파정치질 중이라서. 지는 숨어지내고 초선 의원부터 방패질하고 있죠.이 모든 책임은 이낙연입니다. 계파 정치 심어놨어요. 모조리 싹수를 잘라야 합니다.', 'toolate님 저분은 어떻게 사용하시는지 모르겠지만 영상 촬영하시는 분이라면 이중화해서 백업하고 4k raw 영상들 저장하면 순삭 아닌가요.']"
11,쓰레기,2678,"['캠핑카페랑 제휴도 알아보세요.요즘 캠핑붐이라서 밀키트 많이 사시더라구요.특히 구독자 만명 단위 채널에 광고제휴하자고 다연락해보세요.', '언론에서 엵심히 띄워주고 기사내주고 있으니저 뻘짓은 오세훈이 한 거 사람들이 잘 알죠 코로나 퍼지면 정부 욕은 못합니다 기사로 너무 홍보가 잘 되고 있어서', '코어라는 자들이 있기에 일제가 침략해도총한번 안쏘고 낼름나라를 내주었지독립을 위해 피 흘려싸운 독립군들은 바로 촛불든 딴지인들의 모습. 딴지늘보 20210 4 11 2000']"
12,싸우다,2541,"['저는 대여섯개를 한 입에 넣고 먹다가 아내와 아이들에게 엄청 눈치 받고 그 다음부터는 한개씩 먹고 있습니다. 한 번 손 대면 멈추기 힘드네요', '그걸 좋아하면 비정상인 상황입니다. 대놓고 남성 혐오를 하는데 그걸 국가가 용인해주는 형상이니까요.무려 수십조의 국민 예산을 받는 부를 필두로 말이죠.', '쌍방이죠. 쌍방이 안 될려면 그냥 맞고 죽어야 합니다.심지어 당장 검색해봐도 상대가 흉기를 휘둘렀는데도 쌍방이라고 하는 경찰에 대한 기사가 있습니다.']"
13,고생,2406,"['전 몇해전까지 서울살이하다가 본가로 내려와서 서울시민은 아닙니다 만.어떻게 저런 상대로. 진짜 놀랍네요.티비 안보고 씻고 나와서 티비 틀었다가 딱 보자마자. 허미시부럴 이게 뭐여', '열린당에 매우 유리한 합병이라는 전제하에합당했으면 합니다.민주당이 너무 병들긴 했습니다.작년 닫힌공천 같은 망국적인 선거 전략이너무 불쌍해서 진짜 합당이 마렵긴 합니다.', '박영선 후보님 김영춘 후보님 모두 너무 아까운 분이십니다.당선만 됐다면 멋지게 일 하실 분들인데.가슴 아프네요']"
14,부럽다,2368,"['lunask 그것도 한 방법이긴 하지요.액수의 차이는 국가에서 조정하면 될 것 같고다만 입대하는 사람이 대부분 대학 재학생이니 등록금을 국가가 내주는 게 좀 더 나을 것 같아서요.', 'uncertainty님 수요 대비 공급을 생각하시면다들 문제 삼는수도권 내 신축 아파트수요는 엄청나게 증가했죠.그에 비해 공급은 감소했고 감소시그널을 줬습니다.', '나라 위상 좋아졌다는데도 부들거리는 댓글 보세요.보수언론이나 국징당 지지하는 인간들은 이나라가 망하길 바라는 것 같아요.노벨상 주지말라고 로비하는 클라스죠']"
15,비판,2313,"['제가 첨부터 이나견이라고 이쁜 멍뭉이들 미안 쌍놈이라고 그렇게 주구장창 글쓸때는유배지 보낸분들 지금은 뭐라고 하실런지그래도 저는 당대표 선거 때도 박주민 의원 밀었어요.', 'n 소머리국밥 아빠 감독이 너무 다작을 하면서 각 장르의 클리셰를 너무 남용하는 느낌.좀 대충 만든다는 전략인가 봐요.', '지금 출산율 자살률 보면 답이 나오는데도 헬조선 말이 싹 사라졌지요헬조선 선동을 한 자들이 있었을 것 같네요']"
16,무섭다,2259,"['원래 1주일한번은 잘 안가려고 해요꼭 1주일 1번쓰겠다면 돈을좀 더줘야 하더라고요 자주 안가면 그만큼 노동의 강도가쎄죠일주일 23번 가는 잡보다 1번가는 집이 일이 더 많죠 .22', '솔직히 저 투표현상도 들어보자 들어보자 하면서도 말하는 사람 천불이 나는 게 위험하니까 하지 말라고 여러 번 경고했는데도 그 말 안 듣고 사고 친 애들 수습하는 꼬라지거든요.', '노을 보는걸 너무너무 좋아하는 데.노을이 멋지게 지는 하늘만큼 아름다운 건 없는 거같아요. 그게 사라지면 좀 아쉽긴해도.전 노을지는 걸 매일 볼 수 있는 집에 살고 싶은데.']"
17,욕하다,2216,"['인터넷 갈라치기 프레임은 아니죠?? 설마 인터넷 공작으로 수백만이.이 영향을요???이런 식이면 정부의 갈라치기 정책으로 남녀갈등 심화가 되었다는 게 설득력이 있을 듯한데요.', 'httpmlbpark.donga.commpb.php?p48 1muserbmlbtownqueryselectuserwyparktzsitedonga.com', '예전 페미 남자들 중에서도 그래 쟤들 불쌍해 대우해줘야지 하는 사람들이 있음요즘 페미 여자들마저도 아 저건 아닌데 하는 사람들이 있을 정도']"
18,죽이다,2111,"['굴삭기는 지게차 먼저 따세요. 지게차 실기가 그나마 쉬운데 지게차 면허 따면 필기는 패스. 굴삭기 필기보러갔는데 저빼고 다 지게차 시험 보러왔더라구요.', '3월 말에 조금 샀다가 물타고 물타고어제 손절할까 하다가 딱 일주일만 더 버텨보자 했는데6프로 먹고 분할매도 들어갔어요힘들었읍니다 ㅠㅜ', '북경오리날다 thank you for your service 국방이 튼튼해야 그 외의 모든 것이 꽃 필수 있겠죠 감사합니다.']"
19,심하다,2024,"['꽃을 사서 집에 갈 것 입니다. 또. 얼마 전 여행다녀왔던 곳에서 찍은걸 앨범으로 만들었습니다.항상 저에게 고마운 아내입니다.아내가 가끔 클리앙을 봅니다.응원의 메시지 부탁합니다.', '내가 돈 많고 권력있어도국힘당쪽에 들러 붙겠어요.이건 뭐 핸디캡에 너무 크네요.쟤들은 저정도는 가쉽거리 조차 안되니. 나라를 정말 팔아먹을 정도가 되야 그나마 지탄을 받네요.', '스페로 열린 공감tv에서 20대 남녀 초청해서 듣는 방송을 어제 올린게 있는데 들어볼만 합니다. 그런 식의 소통방법도 필요하고 오늘 꾹변이 하는 방법도 필요하고다 하면 좋죠.']"
