,pos_words,count,documents
0,감사,2082,"['이 정도 건이면 감사팀 뜹니다. 이런 해명을 넘어갈 수 없죠. 업무감사든 표적감사든. 점주 회의에서 강하게 이야기 하겠죠. 회의에서 이렇게 거짓말까지 하니 더 다 작살 날 겁니다.', '커피하루 8잔 오 감사합니다. 전에 조카가 선물해줘서 마이메가 100 먹었는데 좀 효과가 있는 것 같았는데 다 떨어진 담에 신경안썼더니 좀 먹어줘야 겠네요. 감사합니다.', '홍차야옹이 역시울 딴게이님은. 정말 정말.가슴이 따스한 분들인 듯 합니다.감사합니다. 커뮤니티 하면서 이처럼 마음 편한 곳 없었던 듯 합니다.홍차야옹이님 감사합니다.']"
1,친구,723,"['제 친구는.자영업자 친구들을 통해 친구들 사업장으로 보내 더군요. 친구 아들은 지금은 의대 들어 갔어요.이것저것 해보더니 공부가 제일 쉬웠어요 였데요', '우리행복하자 기 기들 행태를 말하는 겁니다. 바로 어제 친구 아이폰 발견 됐다고 검증도 안 된 기사들 폭발 했다가 친구꺼 아니라고 밝혀졌는데도 같은 짓을 또 하고 있으니까요.', '파이드 멐사애들의 성령이 진실로 충만하다면 당연히 히브리어로 통성기도를 해야.저하늘의 내친구 하나와도 대화한다는 애들이 그거 못하면 그것들의 내친구 믿음은 모조리 사기극']"
2,좋아하다,658,"['여러분 레몬 좋아하세요?저도 레몬 좋아 하는데요.일단 제가 한번 먹어보겠습니다 여러분 이효리 좋아하세요?저도 이효리 좋아 하는데요.일단 제가 한번 먹어 보겠습니다 이게 레전드임', '좋아하는 청년인데 이글은 동의할 수 없네타이밍은 범부들이나 시전하는 스킬이고원칙에 기반하지 않는 타이밍은 한낱 잡기일 뿐.그래서 난 원칙주의자인 노무현 문재인을 좋아합니다.', '왁싱김어준 넷플릭스가 한국에 5000억 투자 소식 듣고 넷플을 좋아해서 넷플도 승승장구 했음 좋겠습니다 물론 디즈니도 최근 한국에 대한 대우가 좋아서 디즈니도 좋아하구요']"
3,괜찮다,643,"['복불복 이긴 한데 스파게티 좋음.다만 좀 늦게 가면 손님 없는 날에는. 불어있기도 함.그리고 김치볶음밥 괜찮아요.연어류는 좀 짜고 의외로 괜찮은게 닭갈비요.', '흠. 그 근처는 터진만두집만두전골 냉면 등 오리집이름 생각 안남 그런 식당 기억나네여.태백산맥이라는 전망 괜찮은 술도 파는 카페도 나름 괜찮았었구여.', '괜찮은 사람이 나다녀서 많아 보이지만안 괜찮은 사람도 많아요알러지약 달고 사는 사람도 많고비만 당뇨 혈관병도 엄청 많죠.']"
4,사랑,617,"['geosu ㅠㅠ사랑합니다 고맙습니다 사랑합니다 고맙습니다 사랑합니다 고맙습니다 사랑합니다 고맙습니다 사랑합니다 고맙습니다', '아.천사가 많이 아프군요.아빠의 사랑을 따님이 너무나 잘 알고 느끼고 있을 것입니다.더 많이 사랑해주시고 더 따뜻하게 안아주세요.낼이라도 툴툴 털고 일어나기를 간절하게 기원합니다.', 'n 오또해영 그렇긴 한데 출국이나 사랑이 다른 사랑으로 잊혀지네만 좋아했지 난치병은 그닥 제 취향은 아니라 생각했었죠. 근데 쌈디가 부르는 버전 듣고 바로 소름 끼쳤네요']"
