,pos_words,count,documents
0,감사,1767,"['세솔아 감사합니다.무료에 카메라 1 시청자 여러명. 가능한 거죠?ip webcam 어플 1다수 시청 무료 소리 나스저장 가능httpscomterman.tistory.com17 17', '구구절절 올바른 생각과 안목을 엿볼 수 있는 좋은글 감사합니다. 정치하는 사람들 모두 쓰잘데기 없는 삽질은 이제 그만 하시고 우물안 개구리와 같은 어리석은 환상에서 제발 깨어나시라', '너무 고생이 많으시네요. 이미 충분히 힘드실 줄 알지만 조금만 더 힘써 주시기를 부탁드릴게요. 항상 응원합니다. 중진이란 사람들한테 기죽지 마셨으면 좋겠습니다. 감사합니다 의원님.']"
1,이기다,1723,"['변기가 막혔어요 이명박 시절 재보궐 때는 민주당이 강원도에서도 이기고 수원에서도 이기고 분당에서도 이기고. 승률 좋았습니다.이번에 진 건 전국적으로 여론이 나빠서 진 겁니다.', '사실 말이 40 지.어느 구에서도 이긴 구가 없어요.어느 구는 이기고 어느 구는 지고 이래야 하는데.단 한개의 구에서도 이기지 못했어요.이게 문제예요.', '냇시조니 그쵸.그런글에 놀아났다 가는 다음 대선 못이기죠.그런글에 놀아났다 가는 다음 대선 못이기죠.그런글에 놀아났다 가는 다음 대선 못이기죠.']"
2,지지,1645,"['포로코 헛소리 말고 지지하지 마세요 본심처럼 말이죠. 뭔 지지할 수도 있다는 갑질 타령인지.그냥 지지하지 마세요.지지할 생각도 없으면서 애초에', '힘내세요. 민주당 지지 고맙습니다. 미우나 고우나 국짐보다는 낫잖아요. 다양한 사람들이 각기 다른 이유로 민주당 지지하더라구요. 그래도 지지해주는 게 어딥니까?', '코어 핵심층까지 지지를 잃어버릴려고 하는구나.병신들지들 지지세력까지 잃어버리면 어디서 지지를 얻을려고 하는 건지.']"
3,최고,736,"['역시 최고의 법률가 답게 근거 조항없이 주장만 할리가 없죠최고위원이 궐위 자리가 빌때와최고위원 전원사퇴 전부없음엄연히 다른 경우 임을 미쳣나', '당 대표와 최고위원을 따로 뽑겠다는 생각을 어떻게 하지? 참 신기합니다. 당대표와 최고위원들의 의견이 늘 다르면 지도부가 어떻게 굴러갈지 상식적인 선에서 상상이 안 되는 가?', '원래는 1명 정도 최고위원이 공석일 경우 중앙위에서 뽑는다 라고 되었죠. 전당대회로 1명 뽑기는 비용이 많이 들죠. 이번에는 모든 최고위원이 사퇴했으니 전당대회가 정상이죠.']"
4,친구,689,"['배달하는 20대 친구들은 3400씩은 벌어요 곱게자란 친구들이야 고급인력 이라 오도바이 안타겠지만. 편의점 알바도 시급 주휴 해서 1만원이 넘어요 의지만 있다면 돈벌곳은 얼마든지', '회사에도 그런 친구들 많은데요.그런 친구들은 기본적으로 인성이 부족해요 학력이 좋아도 역사에 정말 무지하고.불의는 참아도 작은 불이익은 못참는다.는 생각이 바탕이에요.', '20대 중에서도 미래지향적이신 분들이 많죠 근데 아닌 친구들도 많은 것도 사실이죠 눈앞에 보이는걸 믿는친구들 많아요 민주당은 앞으로 계속 어필할 필요가 있어 보이네요']"
5,좋아하다,675,"['해경궁 김씨가 크죠. 믿을 수 없는 사람이라는 인식. 전 이재명 좋아했고 지금도 좋아하지만 찜찜함이 남아 있어서 대통령 후보로 문재인 대통령 만큼 지지하지는 못할 것 같아요.', '피콜로더듬이빠는소리 20대가 상대적으로 비호감이 많은거 같은디좋아하는 애들은 겁나 좋아함그나저나 닉네임이 아주 님 멘트랑 이어져서 내용이 들어오지 않네요', '색깔이 매우 선명하기 때문에 그 색을 좋아하는 사람들은 아주 좋아하는 거고 그 색이 싫은 사람은 고민없이 싫다라고 할 수 있는 거 아닐까요.']"
6,인정,608,"['미술품 세금으로 내도 됩니다.단 전부 경매에 붙여서 받은 금액만 인정 해주면 됩니다.10원에 팔리던20원에 팔리던 그 것만 인정해주면 되고.안팔리면 폐물 소각값 청구하면 됩니다.', '거상열기 법원에서 성추행 했다고 나왔자나요. 그래서 i smell you 하면서 조리 돌림 당했고요. 그리고 자살로 그 이유 때문인 걸로 추정이 되고요. 인정할 건 인정 해야죠.', '선을 넘지 않는 선에서 게임계 헤비스트리머의 영향력을 인정하고 스킨쉽을 늘리는 것도 좋을 것 같습니다 하나의 정치 세력 또는 이권단체로 인정하면서 우리쪽으로 끌어올 수 있도록']"
7,능력,594,"['돼지콧구멍 능력이 있고 회사에 헌신적인데 승진이 안 되는 여성이 정말 있을까요? 이윤추구가 궁극의 목적인 기업인데 능력이 있다면 원숭이라도 임원으로 올리지 않을까요?', 'lh사건이 크다기 보단그걸 해결하는 정부여당의 자세가 문제였죠무능력을 보여준거죠당시 여론이 lh사태를 문재인 정부의타락으로 보진 않았습니다 무능력으로 판단을 한 거죠', '소방관에서 국회의원으로 전직하는 게 보통 실력으로 할 수 있는 게 아니란걸 보여주네요.운좋아 시류 잘타서 된 줄 알았는데 능력이었음.많은 민주시민들이 혐오하는 능력']"
8,고맙다,528,"['동감합니다.180석의 의미를 아직 모르는 것 같습니다.왜 국짐당의 눈치를 보고 뭐 하나 도와주지도 않는 언론 눈치를 봅니까?강하게 밀고가면 국민이 진짜 힘이 되어줄텐데.고맙습니다.', '김대중 노무현문재인조국추미애유시민박영선김영춘박주민고민정김용민김남국최민희최강욱정봉주털보돼지주기자와 대안 언론인빨간고양이등여러분 고맙습니다. 스트로베리필즈 20210410 09 35', 'cherryb 그나마 정부에서 뭐라도 해서 이 정도 잡힌거는 안 보이나봐요. 제가 사는 미국 도시만 해도 1년 사이에 25 올랐어요. 정부에서 아무것도 안해요. 고마운줄 아세요.']"
