,neg_words,count,documents
0,비판,21,"['n 이런 분 특 이낙연전대표 욕하지만 이건 디바이드 앤 룰 아님nn이재명 도지사 비판은 무조건 디바이드 앤 룰임nn내로남불도 이런 내로남불이 없죠?', 'n 뭐가 바껴요 팩트로 비판하는 데. 범죄 전과가 없어집니까 패륜 녹취가 없어집니까 동네이장도 못할 수준가지고 뭔 대선을 치른다 고', 'n 똥파리른 입에 물고 사는 것들이 비판은 죽어도 싫대요. 그래서 이재명이 불법과 무능은로 개판 치는 것을 눈 뜨고 보라구?n']"
1,비난,18,"['n 김어준 고마운줄 모르는 것이 똥파리들이 다nn왜? 이재영지사 비난 안하니까nn 이런 어이없는 세력들n그러기 전에 홍영표에게 김어준 방송 나가지 말라해', 'n 당측 관계자가 누군지 실명으로 밝혀라n그리고 이낙연 의원과 문대통령을 n꾸준히 비난하고 모욕준 n오렌지들도 같이 제명해라', 'n 이재명의 만행은 중도파를 넘어 전국민의 눈살을 찌푸리게 만들고 상식적으로 납득하지 못하는 행동으로 비난을 받고 있죠.']"
2,부끄럽다,16,"['n 부끄럽네. 아직도 민심을 모르는 민주당 국회의원이 너무 많다.찢끄레기들 조차 눈치 보는 이 모지랭이들.', 'n 더러운 불륜스캔들에n이제묭이 뭐라고 민주당에선 아닥하고 있나n당원인 내가 더 부끄럽고 쪽팔리네', 'n 이렇게 구구절절 거짓말만 늘어놓아도 부끄럽지도 않으세요?']"
