,neg_words,count,documents
10,비난,240,"['n 민주당 내에서 조국 뜬금 없이 조국 욕 하는 것들은 이번에 쳐내야 한다 초선 5적 박용진 홍영표 등 다른건 몰라도 조국을 비난 하는 건 민주당과 민주당 원을 비난 하는 거다', 'n 맞습니다 이지사 비난하고 나가라는 거야 말로 갈라치기 입니다 뭉쳐서 내부단속하고 성찰하고 반성해야지 이지사 비난은 분당하자는 얘깁니다 작전세력들 그만두세요', 'n 사람 외모로 비난하지 마세요 이게 무슨 행동 이십니까? 어린아이도 아니고 민주당 의원 비난할 힘있으시면 국힘당 가서 욕하세요']"
11,욕설,240,"['n 오히려 직설적이고 좋은데? 할 말 있을대 못하는 것보다 당당하게 말하는 게 더 좋은거 아닌가? 밑에 원글 보면 헛소리하고 욕설하는 거에 욕설로 반박하는 게 잘못된 것인가?', 'n 기본불륜.기본음주운전.기본욕설주장하는n이재명nn정동영절친 정통회장 이재명n대통령되면 뭐된다?n나라 망한다nn불륜욕설 신고는 114 로n', 'n 일베 출신은 자랑인가?n전과4범 음주운전 폐륜욕설 불륜 등n온갖 잡음이 난무하는 자는 쥐구멍에n숨어도 숨겨지지가 않을듯 n민주당의 해악을 내쳐야 당이n바로 서는길 이재명 나가n']"
12,힘들다,211,"['n 노무현 대통령님께서 돌아가시기전에 n인터뷰하신게nn청와대 계실때 가장 힘든게n한나라당과 언론보다도 여당내에서 욕하는 게 제일 힘드셨다 고.ㅠㅠ', 'n 당연히 지지하지요 n원래 힘들었음 힘들어도 괴물들을 찍을순 없습니다nn그래도 가슴이 시키는 쪽으로 갑시다', 'n 그런데 지금까지의 행보는 전혀 다릅니다. 힘들땐 어디 숨어서 보이지도 않는 사람 말은 신뢰하기 힘듭니다.']"
13,걱정,203,"['n 고개 들어 일본을 봐요. 낙연이가 팔고 있는 수박들의 소원이죠? n나라 망칠일 있습니까? 지금도 민의를 모르고 지 앞날만 걱정되서 설치는 국회의원이 수두룩인데 그들을 믿자구요?', 'n 게시판에 글을 처음 남깁니다. n오래된 당원입니다. n요즘 당의 모습은 실망스럽습니다. n저도 님과 같은 심정입니다.n그런데 게시판에 이상한 글들이 많네요 ㅜㅜn걱정입니다.', 'n 이젠사과했다 고 야단.nnn뭔 걱정?n1위라며?n남의당서 적폐짓거리나 nn조딱서니.n조딱서니.nn입에 착착 감기는.nn진작 사과해야 할 사람은?nn언플만 오지네']"
14,버리다,201,"['n 이재명지사 기본소득 정책 공약 버렸다는 소문 들으셨나요?n확인해보세요.대통령하려고 몇년 동안 홍보비뿌리고 그거에만 매달렸는데.그거 버리고 이젠 어쩐대요?', 'n 지금이라도 늦지 않았다.n조국을 지켜라. 대통령을 지켜라. 당웜의 명령이다.n재명이를 버려라. 거짓말쟁이를 버려라. n당원으로서 명령한다.', 'n 노무현을 버렸던분이고 조국과 추미애를 버렸는데 문통이라고 못버릴 사람인가 저낙연씨']"
15,싸우다,199,"['n 최소한 우리 갈라치기는 하지 맙시다 부모자식이 싸운다고 연끊고 나가면 그게 가족입니까 치고박고 싸우더라도 안에서 싸워서 결론 냅시다 화나는맘 아는데 후회할일은 하지 맙시다', 'n 김어준이 뭘 위해 싸워???n기가 막히네. 공짜로 싸웠나?? 돈을 그마이나 주면 입맛에 맞게 싸워주겠네.n조작질하는 조중동과 다를 바 없는 부류', 'n 사면은 소신이라고. n대통령 임기 내에 사면 시키라고 압박하던 놈n적폐와 싸우라고 밀어줬더니 대통령과 싸우고 자빠졌던 놈n지가 다음 대통령이라 생각 했으니 그랬지. 아오 열받아']"
16,걸리다,196,"['n 돌아다니는 발은 오직 대통령병 걸린 개인행보일 때만 사용. 아니면 로 언플짓하거나 sns 중독처럼 스마트폰만 만지겠지.n그러다가 디어문처럼 꼬리가 길면 밟히고 흔적을 남기네.n', 'n 원팀원팀하면서 뒷퉁수 치고 다니는 니들이 할 말을 아니다.염치라도 챙겨라.빤스런 잘하는 느그 도지사님 오늘은 누구 치마폭에 숨었냐? 걸리면 뒤진다고 말 좀 전해주라.온김에.', 'n 박제 많이 하세요 n전과4범 패륜쌍욕에 불륜으로 송사 걸린n비윤리적인 자를 추종하는 수준 알만 합니다nn너님이 말하는 민주당에 어울리지 않는 미친자는 n이재명과 추종자들 n']"
17,나쁘다,196,"['n 지지자 왈 오랄이 나쁜거니? n라더군요 n미 친.nn찢지지자들은 n총각사칭과 불륜은 안드로메다 보냄.nn머리가 나쁜가n아니면 죄이재명 같이 사는 가.', 'n 왜구도 토착왜구가 더 나쁘듯이 내부 변절자 통수들이 젤 나빠. 이 배은망덕들아. 대통령님 덕에 금배지 달고 지들 잘나서 된아나. 아나 콩떡이다', 'n 저도 지켜보다가 탈당 할려고n당비 납부 안하는 중입니다n이번에 돌아서면 다시는 진보단체 지지 안할겁니다n입으로만 떠들고 행동안하는놈이 도둑보다 더 나쁜거라는 걸n새삼 느낍니다']"
18,가짜,193,"['n 옵티머스 불라불라 하며 가짜뉴스 퍼뜨리더니n죄다 처벌 받기를n확인되지 않은 가짜뉴스로 선동하는 것들이 나n맹목적으로 믿는 것들이나 똑같음n처벌길만 걷자', 'n 동감합니다. 도가 지나치게 요즘 가짜뉴스를 뿌리고 있습니다. 가짜뉴스 엄중?히 대처해야 합니다.', 'n 아이디 사서 들어온 가짜 중의 가짜한줌단 디어문 세력. 아이디도 진짜 많이 샀다. 그쵸?']"
19,당하다,187,"['n 조국장관 가족이 멸문지화 당할때는 한마디도 못하시던 초선 의원들n초선이 자꾸 조선으로 보인다 n동남아 쇼핑센터 에 수출하는 폐지가 자꾸 생각나네nn아. 정말 기분이 더러워진다', 'n 이 녹음파일에 전과4범 불륜에 의한 n재판중인 것 합쳐서 공격 당하면 n 아무리 철면피라도 감당할 수 있을까 n 지금도 안늦었으니 빨리 나가거라 n아니 꺼져라 꺼져 꺼져 꺼져', 'n 이재명 조응천 박주민 정성호 김병욱 정청래 이해찬 .n언제 야당때 사찰 당했어요?n오히려 야당때 잘 나가던 사람들이데.nn문재인데통령님 박원순 시장님만 사찰 당하고 고생하셨죠']"
20,떠들다,183,"['n 아무리 떠들어도 국민으로부터 지지를 받지n못하면 모두 꽝입니다. 선거에 패배하면 무슨 할 말이 있겠습니까? 민주당의 최종 목표는 민주당으로 정권 재창출입니다. 작성자 로고스로직', 'n 촛불세력 무모하다 비꼰게 누구더라? 탄핵될 확률 0라더니 n왜 나와 떠들었지? 생각보다 사람들이 많이 나왔으니까 가만보니 나가는 게 유리할듯 하니까?오락가락은 저때부터 였나?n', 'n 나도 좀 물어봅시다 n이재명 김혜경이 정의를 위하여고 디어문이 이재명이면n당신은 그래도 이재명 찍을수 있습니까? n정의를 위하여가 무슨 말들을 떠들었는지 찾아보고 답변해 보세요']"
21,천박,183,"['n 와 천박한 부부한쌍이네요 n주어는없어요n정말 역겹다요n당의님 당의님을 모독한 리쉬 찓파리n신고하시기 바랍니다 n천박한정치인 광신도라 뇌가 찢어져 n발광중이니 이해하시구요n', 'n 똥파리듵은 자신이 추잡하구 천박한 똥파린걸 알구 있습니다 알면서도 이딴 비열할 짓거릴 하는 똥파리들은 천박하구 더러운 해충입니다', 'n 파란 민주당이 아닌 n오렌지 무식저질천박 일베출신 인간말종 총각사칭 불륜n조폭연루설 전과4범 범죄자 이재명만 민주당에서 나가면 된다n민주당은 이재명을 제명하라 제명하라 제명하라']"
