,neg_words,count,documents
0,분노,17,"['n 나경원은?? 박형준은??? 웃기고 있네 입시비리나 제대로 털어 조민이 받은 말같지도 않은 표창장으로 난리치지 말고 선택적 분노 하지 말고 정신차려', 'n 초선들에 분노하고 일 안하는 180의원들에 분노하고 밀실에서 최고위 뽑는 중앙위에 분노하고 당에 분노한다.', 'n 참패 원인은 lh입니다. 그거 누가 퍼뜨렸죠?? 부동산이라니. 약간 분노의 결이 다르시네요?']"
1,헛소리,17,"['n 헛소리좀하지 말고 당원탈퇴해라 니들진자게시판애서 죽치고 이쟈명이재명거리는거 도저히못봐주겠다.n이낙연이든 이재명이든 경선에 따라 당선되면 되는 걸n맨날 도배질을 하네', 'n 진짜 암덩어리는 이재명이 지.n지금까지 민주당 못한 거 없다. n민주당은 이재명 헛소리하는 초선국개들 민평련색희들 때문에 확 달려나가지 못하는 거야.', 'n 뭔 헛소리야.n이해찬씨 선거운동 열심히 하신거 모든당원및 국민이 다아시는데n그리고 이재명씨는 공직자로서 선거운동하면 안 되는 거 모르시나n장신차리셔']"
2,망하다,14,"['n 완전 미친 인간들 이네요.n그러니 이꼴을 당하고도 상황 파악이 안 되죠n아휴 망할인간들', 'n 이러다 대권도 뺏기고 망합니다n정신좀 차리세요', 'n 얘네 민주당망하라고 일부러 이러는것 같네요']"
3,무시,12,"['n 안갈거면서 똥파리들 허세작렬은 올림픽 금메달급 한중 똥파리들은 그냥 무시전략이지 근데 니들도 같이 머리박아야 하는 거 아니냐 n', 'n 지금이라도 당사앞에 당장 달려가고 싶네요n당원 무시하고 지네 멋대로 하면 민주당n폭망입니다n해당행위 하는 자들이나 출당시켜라n', 'n 당원들 결정을 우습게 아는 건방진 초선 나부랭이들 n당원들 의견 무시 할 것 같으면 민주당에서 나가 건방진 초선 나부랭이들아']"
4,망치다,12,"['n 이해찬이 망쳤죠. n180석이나 만든게 정말 큰 죄입니다. n하지 못할 기대 키워놓다니.n이번 선거에서 최대 오판이죠.', 'n 누구때문에 권리당 원하고 있는데 진짜 미꾸라지 두마리가 분위기 다 망치네요 추합니다 정말 추해', 'n 인면수심들n이것들 꼭 천벌받아야 함n선거 망친 이재명 슈레떼들 해당행위 처단해야함']"
5,비판,11,"['n 당신 뭐야?증거 있나? 제대로 밝히지 않으면 국짐당의 뿌락치로 간주하겠다. n당내 인사에 대한 당원의 호불호는 있을 수 있지만 근거 없는 비판은 음해다. 당신 말에 책임지시오', 'n 이런 성찰의 목소리가n당을 조금 더 성장시키지 않나 싶어요nn탈당은 하지 마시고n게시판에 자주 오셔서 n건설적인 비판n합리적인 대안 제시 등등n많이 해주세요nn감사합니다', 'n 나가면 안 됩니다. 노무현 대통령때도 서로가 비난하고 분열되었습니다.n이곳에서 더욱 응원하고 잘못하면 건전한 비판을 하면서 응원해야 합니다.n부탁드립니다.']"
