,pos_words,count,documents
10,진실,134,"['n 에공 다 진보팔이 사기꾼 집단 방송을 가져오셨네. 이보시오 양심을 같고 진실과 팩트를 보시오.n이딴방송들이나 보니 진실이 보이겠오?n당신이 엄청 멍청해 보이는군요.', 'n 진실?????n아침부터 별 쉰소리를 다 듣겠네nn이재명이 진실돼서 이딴 짓을 하고 n지지모임 발기인 수에 가짜명단 n섞어놓고 그러는구나.n', 'n 진실을 n밝히세요n당게 운영자님들n오늘도 똥파리님들 한쪽만을 공격하네요n그참.먼일만 터지면 진실도 안밝혀 졌는데n무참히 밟아버리네']"
11,배우다,131,"['n 노무현 대통령님께 정치를 배웠다고 주장하면서 이재명을 지킨다는 게 말이 되나요? 대체 뭘 배운거요? 그리고 당내 경선에서 뭔 짓을 하려고 선거법 적용에서 제외시키려고 합니까?', 'n 아.짜증나n의원들 왜 이래요?n초선에 중진에.n지들이 잘나서 의원 된 줄 아나?n선배들한테 못된 것만 배워서n똥 싸고 있네.n그러면서 지들이 당 쇄신한다 고 꼴갑을 하네요.', 'n 문재인덕에 180석 된거 몰라요?n모르는 척 하는 뻔뻔스러움도 어디서 보고 배운건가?nn해찬이는 윤미향 같은 애들이나 공천해서 민주당 이미지 망치는 노릇이나 했지 멀했나?']"
12,적극,124,"['n 당원?n이런 글 안볼 수 있게 새 당대표님이 적극 나서주실거죠?n친문 대표님이시니깐요.n우리는 대통령님을 지킬거잖아요 그죠?n이런 쓰레기 당원글은 더 이상 보고 싶지 않습니다.', 'n 이낙연님 신복지제도 다 훌륭한 공약이지만 그중에서도 제대군인 3000만원 사회출발자금 제안은 무리 없이 실현 할수 있는 공약이여서 적극 지지합니다.n역시 정치고수이십니다.', 'n 동의합니다n가짜 당원들이 기레기짓 하며 민주당을 찢어놓고 있는데 그들에게 놀아나선 안 되죠n진짜 배기 민주당의 의원들 여러분이 더 큰 목소리 내 주시고n적극적 활동해주세요']"
13,품격,122,"['n 이재명 찢빠들이 품격을 논하는 이 더러운 세상nn여보세요디어문 손꾸락 오렌지 뻐꾸기 님들 nn시정잡배 오물통 품격제로 전과4범폐륜아 이 재명이 델꾸 민주당에서 나가주세요', 'n 가지가지 한다n위아레 없는 사가지 진보 정치 하라는 거군.n마치 이재명 같이.정치판이 아무리 더러워도n이낙연 같이 품격 있는 정치를 해야 진보든 보수든 보고베우지.', 'n 정치인 지지자들은 자기가 지지하는 정치인을 닮는다죠.n말투며 행동이며 품격과 인성 등 모든 것을.nn이재명 지지자들은 늘 한결같아요.nn더럽죠 n이재명 닮아서.n']"
14,도움,120,"['n 기본소득 한달에 16000 주겠다고 꼴값n것도 기존의 복지를 다 줄여서n푼돈 풀어주겠다고n그거 갖고 치킨 한번도 못 사먹어요n연간 20만원으로 퍽도 가정경제에n도움 되겠네', 'n 선거 패배의 책임을 누군가에 돌리고 싶다면 다른 사람이 아니라 자신에게 돌리세요 이런 분열적 글이 누구에게 도움이 됩니까? 민주당이 망하면 이낙연대표에게 도움이 됩니까?', 'n 서울시민으로 한마디 하면 누구나에게 돈뿌리는 정책 단1도 지지하지 않습니다. 집중이 필요한 대상에 보다 많이 빨리 지원하는 게 회복에 더 큰 도움이 된다고 봅니다.']"
15,연애,118,"['n 전과4범 무상연애 형수확찢 불륜에 의한 재판중인 추접더러운 자를 추종하는 사람들은 도대체가 어떤 인성의 소유자인지 그것을 알고 싶다 정말로 바라면서 외친다 사람이 먼저 되라 고', 'n 음주운전자 전과4범이 대통령을 꿈꾼다는 자체가 어불성설임. 더욱이 여배우와의 무상연애는 어쩔겨? 형수한테 대놓고 쌍욕하는 인간쓰레기가 대통령? 대한민국 국민이 그리 우습나?', 'n 경기도청 근무하는 사람들은 지금은 입 다물고 있겠지만 무상연애 검사사칭 음주운전 논물표절 이재명에 도지사 그만두면 놀라운 사실이 365일 나올듯 해요nn아수라2 개봉박두']"
16,존경,99,"['n 제가 존경하옵 법정스님n제일 좋아하는 책 무소유n줄 친 부분 명심 하겠습니다.n도통령 꼴도 구역질 나는데.n그 꼴 못봐욤.ㅠㅠnn마지막 사진의 글귀.n비장함이 묻어납니다.', 'n 정말 감동입니다.n비교할 수 없는 품격과 사안을 뚫어보시는 통찰력과 혜안nn보면 볼수록 김대중 노무현 문재인 대통령님을 닮으신 n존경스러우신 분.nn 어대낙n', 'n binu수준 어휴n문프 지지도 안하면서 왜 민주당에 있나?n민주당 이용할생각 그만하고n존경하는 이 지사님 모시고 창당해서n맘껏 존경하시라요 n수준 더럽n']"
17,어울리다,95,"['n 박제 많이 하세요 n전과4범 패륜쌍욕에 불륜으로 송사 걸린n비윤리적인 자를 추종하는 수준 알만 합니다nn너님이 말하는 민주당에 어울리지 않는 미친자는 n이재명과 추종자들 n', 'n 이재명 스피커중 하급인 이동형이 머라도 된다 고 착각하다니. 이재명지지자들끼리 4대천왕 놀이 재미 있나보네요. 자칭 대선주자는 경기도 대통령 놀이하고 잘 어울립니다 그려.', 'n 공감입니다 정청래 꼭 법사위원장 적극 지지 우리의 전사 김용민 지지하고 응원합니다 백혜련 이사람이 민주당사람 맞습니까 제생각은 국짐당 에 가있으면 딱 어울릴듯 하네요']"
18,소득,94,"['n 기존소득다으로는 안갈걸요. 계들은 머니가 없거든요. 이반에 서울시장에 나온 기본소득당이 선거비용없어서 울면서 유툽방송하던데요. 선거비용 없다 고. 재명인 돈 없는데 안갑니다.', 'n 허경영이 다 짝둥이라고 입 꾹 하라고 큰 소리치네요 에휴 n부끄러움은 당원 몫ㅠnnn허경영 이재명 기본소득 오세훈 안심소득은 짝퉁 공약내가 원조 heraldcorp.com', 'n 본인이 한 말이 부메랑이 되어n돌아오는 건데 무슨 음모?n연간 이십만원n월 16600 기본 소득으로n등 따시고 배부르게 사시겠어요 님은?n그걸론 치킨도 못 사먹는데n']"
19,희망,92,"['n 그러게 말입니다.n미국 의회와 당도 다른 후임 대통령도 인정하는 데n정작 대한민국 국회는 뭐한답니까? 다수당이면 뭐해요n망해가는 일본인들 희망대로 전쟁 이라도 바란답니까?', 'n 제 주변에도 1차 보편 지급때 좋아 진뒤 희망 보다가 2차 부터 좌절 하고 이낙연 위원장이라면 혐오를 넘어서 저주를 하더군요 힘내시고 그래도 또 살어가야 하는 거니깐요', 'n 연기는 극소수 이천파의 희망이겠죠n있을 수도 없고 당헌대로 갈거라n확신합니다.n요즘 초딩들 말가운대n너네 엄마 아빠 대깨문 이냐?n당원의 일원으로 부끄럽습니다.']"
