from,to,depth,documents
"community
in minju_03",똥파리,1,"['n 이재명 지지자들이 똥파리인거죠? 이재명하고 너무 어울리는 단어잖아요. 똥파리 불륜 불법 이런 단어들이랑 찰떡인데 자기들이 똥파리인줄 모르는 똥파리들이 많은거 같네요', 'n 똥파리가 밀면 이유가 있죠 n똥파리가 미는 인간중에 인간같아 보이는 인간이 없어요 n유유 똥똥 아닙니다 똥은 똥끼리 모이고 똥파리는 똥파리끼리 모이죠', 'n 똥 낙 필 패nn이천파 똥파리들이 낙연을 선택했다nn똥파리가 누굴 밀든 반드시 패한다 nn똥파리 이천파들이 점찍은 낙연 nn낙연아 똥파리를 원망해라']"
이재명,지지자,2,"['n 이재명 지지자들의 모습. n오늘 세월호 7주기인데 막말 일삼던 혜경궁 김씨 보면 이재명이나 그 지지자들이나 유유상종.n제발 꺼져라 이재명 과 그 지지자들아n', 'n 놀고 있다 문프 지지한적도 없으면서 진짜 멍멍소리 낭낭하시네 느그 이재명이나 많이 빨아줘라 아 맞다 이재명지지자들은 이재명지지자라고 하면 화들짝 화낸다매???', 'n 김경수에게 폭력행사한 이재명 지지자n이낙연에게 폭력행사한 이재명 지지자n강성 지지자는 문파가 아니라 이재명 지자자들이 다']"
이재명,이해찬,2,"['n 어 왜 자꾸 아닌척을.n이재명 이해찬 이재명 이해찬 이재명 이해찬 때문인거 나도 알고 당신도 알고 우 리 모두 알잖아요n지지하는 게 부끄러운가 왜 저래', 'n 이해찬하고 이재명도 탈당해야됨nn 오세훈 당선에 일조한 이해찬과 이재명n lh 배후설 이재명n세종시에 문제 터진 이해찬nn그거 덮을려고 초선 5인?', 'n 뭔 개 소리 이해찬이 문프 초기 황금같은 2년을 개혁은 커녕 이재명 하나 살리려고 갖은 짓을 다한 결과가 이번 보궐에 나온 것. 이해찬 이재명 초선 데리고 나가라']"
이재명,지사,2,"['n 이재명만큼 정의롭고 이재명만큼 일 잘하고 이재명만큼 청렴하고 이재명만큼 추진력 짱인 한국정치인 단 한 명도 없는 게 현실이죠 n친문들은 이재명지사님 매우 귀한줄 알아야 합니다', 'n 전재수.n김두관이가 아님 누군데?n또 이재명지사라는 거지n하지도 안했는데 이재명n닾어씌운기 좋은 이재명n나는 이재명이 좋다n바보 노무현처럼n저들에게 당하고 당해서', 'n 이재명지사 지지하시는 분들 이 제안에 반대하실 이유가 뭡니까? 이재명 사칭하는 자가 분란을 일으킨다면 이재명지사로서도 안좋은 일 아닙니까?']"
민주당,후보,2,"['n 언제까지 이런 한심한 댓글 달건지.n누가 대선 후보여도 민주당이면 지지합니다n그게 찐 민주당 지지자들이 지n지지율 1위 후보 탈당 시키면 민주당이 대선 이깁니까?', 'n 민주당은 국힘당과 다르게 올바른 전과 없이 경쟁력을 가진 후보가 대선 후보가 되어야 합니다. 흠결이 많은 후보는 민주당 대선필패를 부릅니다.', 'n 근데 민주당 대선후보 나오며 대통령 되는 건 확실한가요? nn진보층에 적대적인 언론들이 왜 이렇게nn그가 민주당 후보로 나오길 안달인지 거기까진 생각이 안 가나요?']"
민주당,개혁,2,"['n 분열하지 맙시다n민주당은 개혁해야만 살아 남습니다n것수분리.언론포털 개혁을 꼭 이뤄 주세요n그래야 민주당 지지한 보람이 있을 듯n아님 민주당 떠나야 할듯', 'n 민주당 최우선 과제는 개혁 입법 완성입니다. 개혁 더이상 미룰 수 없습니다. 민심은 개혁입니다. 개혁 입법 완수할 337 응원합니다.', 'n 민주당 간자세력들.여시제안되 .힘모아정권창출해야지.적패청산검찰개혁.사법개혁.언론개혁넘많아싸우지마라 낙연대툥령아니야 .이재명대통령님당선시키자 .곡성에서 권리당 원.']"
이낙연,선거,2,"['n 지난기간 당대표로 있으면서 개혁 안한사람이 이낙연 아닌가요?n이번 보궐선거 총 지휘한 사람이 이낙연 아닌가요?n그럼 나갈 사람이 이낙연 아닌가요?n엄중파 수박파', 'n 1년 동안 언론 눈치 보며 n헛짓거리 하는 게 아주 가관 이엿죠nn이낙연 선거 패배 제대로 된 사과없고n이낙연 지지 알바들만n당원게시판 온갖 헐뜯는 말로 도배를 하짏안나n에라이', 'n 이낙연 위원장님이 얼마나 열심히 선거운동 하셨는지 몰라서 이딴 x소리를 싸지른 거에요?n느그 이재명의 lh 폭탄만 아니었으면 우리가 이기는 선거였어요.n이 천하의 역적들아. d']"
이낙연,지지율,2,"['n 지지율 의미 없다 고 몇번을 말해요.n경선 승리할 이낙연 의원님이 찢 지지율 다 가져간다고 요. 지지율 많이 올리세요. 불륜 재판도 잘 하시고', 'n 이철희 정무수석 결사 반대n근데 이재명이 무서운가봐요 이재명 이재명 n이낙연도 일해서 성과로 실력을 보여주면 지지율 오르겠죠n일좀하세요 엄중하게 지켜만보지 말고요 이낙연 화이팅', 'n 이재명지사님이 왜 탈당을 해야 합니까? 정초부터 재수없게 사면론 꺼내가지고 본인 지지율에 민주당 지지율까지 깎아먹은게 누군데요? 탈당 시킬라면 이낙연의원부터 탈당 시켜야죠']"
이낙연,조국,2,"['n 이낙연 위원장 까려고 조국팔이 하는 인간 나셨네. 가지가 지. 보선실패 찢해차니 묻으려고 조국팔더니. 이젠 이낙연 까려고 조국파냐? 니들은 조국없었으면 어쩔뻔했냐?', 'n 조국에 빚이 있다는 문통과 그런 문통을 조롱 하듯 조국에 빚이 없다 고 지꺼린 이낙연 그리고 조국일가 입시비리가 어쩌구 라는 홍영표와 초선 5적들 반문짓거리가 아니라 사기임', 'n 조국님하고 이낙연 의원님은n하나가 되기 어렵지 않을까요n.n이낙연 의원님은 조국님을n써서 뱉으셨다가n이제 달아서 삼키시니까요n']"
이낙연,초선,2,"['n 초선들의 정치적 스승이 이낙연 전대표이고n후원회장도 이낙연 전대표죠.n초선들이 제대로 못한다고 이낙연 대표에게 나가라고 하지 않습니다.', 'n 초선역적과 왜 이낙연대표를 왜 같이 묶냐?n 초선역적과 이재명이지 n이재명씨 제발 초선역적들 델고 나가요n당신때문에 스트레스 겁나 받고 있으니', 'n 초선 5적의 대장의 동아일보 22년 기레기 간부 논설위원 이낙연이지. 초선 의원들 그 동안 이낙연 거수기 노릇만 했던거 알잖아?n']"
나가다,데리다,2,"['n 이재명은 창당해서 대선 나가길 추천합니다. 여권 대선 후보 지지율 1위니 추종하는 의원들도 많을테니 모두 데리고 나가 멋지게 창당해서 보란듯이 대선 나가길 추천합니다', 'n 탈당컨셉 잡고 나온거 같은데 얼쑤탈당한다 고 씌부린것들 계정 다 저장이요 꼭 나가 멀리 안나가니까 느그 조지자 데리고 꼭 같이 손잡고 나가서 창당해응원할게', 'n 진절머리나니? 이재명 데리고 나가서 창당하세요. 왜 여기 당신이 혐오하는 똥파리들 밭에 옵니까? 이재명데리고 나가서 창당하라니까. 정동영따라 지야.']"
나가다,재명,2,"['n 보궐때 보여진 것만해도 참. nn나갈때 이재명 좀 대리고 나가주면 nn민주당을 구한 영웅이 될 수도 있다. nn이재명 좀 데리고 나가주라', 'n 이거 보고도 그런 정신나간 소리가 나오세여?nn이재명이 lh폭로하고 선거 개폭망했어요nn정신이 단단히 나갔네 이 사람nn노무현 시체팔이 이재명 김혜경 씨인거 잘 아시죠?n', 'n 경기동부연합 뻐꾸기가 나가야지.n이재명은 족보 없는 정통 출신이야. 정통하면서 오지게 박스떼기 했지. 일생이 불법이고 부도덕인 인간이야.nn정통 민주당이 왜 나가니?']"
