,pos_words,count,documents
0,지지,67,"['n 동감합니다. 당의 주인은 당원입니다. n당원들 지지도 못받는 사람들이 어찌 국민의 지지도 받겠나요?', 'n 이재명지지자는 하나같이 일베들이네n어쩜 이렇게 일베용어들만 골라 쓰는지.n하긴 정신세계가 그만큼 저렴하니 이재명지지하겠지n기승전 이낙연이래 n이낙연 만큼 한 사람 어딨다고', 'n 이낙연 꼬봉인 친일매국노 후손 홍영표와 박완주가 협치와 법사위원장 자리 내주자고 난리죠. 이낙연 지지하는 놈들은 진짜 댓글팀이거나 뇌가 없거나 둘 중 하나임.n']"
1,이기다,14,"['n 이낙연 위원장님이 얼마나 열심히 선거운동 하셨는지 몰라서 이딴 x소리를 싸지른 거에요?n느그 이재명의 lh 폭탄만 아니었으면 우리가 이기는 선거였어요.n이 천하의 역적들아. d', 'n 중진이라는 것들이 저런 짓거리나 하고 있으니 보궐선거에서 이길 수가 없었지n그래 계속 헛짓거리 해봐라 n누가 이기냐 보자', 'n 이번 선거에 진 현 당대표 이낙연은 놔두고 선거에 이겼던 과거의 당대표 이해찬이 책임져야 한다는 해괴한 논리는 뭐냐.']"
2,사랑,11,"['n 저는 평범한 당원입니다n뉴스에 민주당 게시판을 악이용 하는 보도가 이따라서 n마음이 아파 올리글입니다nn저는 진짜 당을 사랑하는 소시민 입니다', 'n 도대체 어떤 사람들이 대통령 손절하자고 권유한 자들 나빠요.n이니여니 사랑합니다.n이니여니 존경합니다.', 'n 얘네는 맨날선별지원금타령이야 너가 궁금한거 느네 찢지사랑 당시당대표한테물어봐 어디물타기야']"
3,좋아하다,11,"['n 그사람때문에 종이한테도 저 단어를 못쓴다. 제일 싫어하는 단어.n좋아하는 그 사람 데리고 민주당에서 나가', 'n 대통령 후보 흔들기인가요? 하지 맙시다. 그러면 누가 좋아합니까? 좀 슬기롭게 합시다.', 'n 미친 차라리 국짐가라 협치 좋아하네 대표 수박인 넘을 당대표?']"
4,친구,10,"['n 이낙연대표님 정말 수고 많으셨어요n언론홍보비 지출해서 도정에도 결석하고 혼자 대선놀음하는 누구와 달리 n언론친구비는 못썼지만n국민들과 당원들은 알아갑니다 n이낙연의원님의 노고를', 'n 친구비는 또 뭐임? 이분들은 하루에 하나씩 새로운 단어 만들어내고 자기들끼리 공유하고 사용하는 거 같네.난 진짜 몰랐는데 당신네들 작세같다는 느낌이 강하게 드네.', 'n 친구비로 모든 언론들이 호의적인 기사만 써대니 지지율 높게 나오겠지언젠간 전 국민이 이재명의 무능력과 패륜력을 알게 될 것이다']"
