,pos_words,count,documents
0,지지,49,"['n 저도 지켜보다가 탈당 할려고n당비 납부 안하는 중입니다n이번에 돌아서면 다시는 진보단체 지지 안할겁니다n입으로만 떠들고 행동안하는놈이 도둑보다 더 나쁜거라는 걸n새삼 느낍니다', 'n 구구절절 옳은 말씀입니다n이런와중에 이재명 디스에 올인하고 있는 자들은 누구인가요?n오죽하면 홍영표의원이 똥파리의 지지를 거부할까요?n똥밀필패란 말이 있죠', 'n 전과4범에 무상불륜지지하는n찢파리님 오셨네요n오늘 빵빵 터진 갓재명님의n불륜 송사길을 응원합니다 n갓재명은합니다n시원하게 더러운 짓을 너무 잘합니다n']"
1,최고,14,"['n 문프님 지키려면 이낙연대표님이n되셔야 해요n그래서 당대표도 최고위원도 114n일베용어 쓰면서 갈라치기 하는 게 n누군지 잘 보세요n오렌지 뻐꾸기 outn', 'n 동네 이장도 되어서는 안 될 사람이 도지사까지 해서 말아먹고 있는데 대텅령병까지 걸려서 이렇게 귀찮게 하네요.nn당대표 및 최고위원은 114', 'n 이 문자는 왠지. 공개될거 감안해서 언플용으로 착하게? 쓴거 같은데요 순수해보일지경 nn기호 1번 강병원 최고위원님 후원해주세요 114n']"
