from,to,depth,documents
"X-File
in xfile_twitter",이재명,1,"['이재명은윤석열x파일에 대해서 또 입처닥하겠지? 왜냐고? 주딩이 열었다간 이재명이 등장할 수 있거든?과 이재명은 암흑의 동지 같은 관계잖아? 윤석열x파일 이재명x파일1718', '윤석열x파일 두 가지 버전 있다는데 그 중 하나는 열린 공감tv에서 작성한거 라는데 이재명이 봤다는 게 이건가? 윤석열씨도 이제 이재명 x파일 슬쩍 흘릴 때가 되었어요17 19', '윤석열x파일과 경선연기에서 압도적으로 힘도없이 밀리는 이재명계를 보니 이재명 몰락은 이제 시작 이번 민주당 경선은 김대중 노무현문재인 vs 정동영의 대결']"
윤석열,야권,2,"['윤석열의 악재는 누구에게 호재인가 윤석열 x파일 국민의힘 대권주자http곽우신 기자이슈 국민의힘 지킨다 태세지만. 다른 야권 주자들 검증의 링 오르라ohmynews.com', '이준석 윤석열x파일 별거 아닐 것 안철수 공개하라 이준석 윤석열 x파일 별거 아닐 것 안철수 공개하라 야권 송영길 x파일 공개하라 hani.co.kr', '윤석열x파일 폭풍전야.야권 인사 문건은 2개 조국 의혹 보다 더 심각 검찰이 조국상대로 조작한 의혹보다 무척 더 심각 제목은 이렇게 적어야지 기레기야206267']"
윤석열,논란,2,"['정치신세계 생방송 많이 와주세요윤석열x파일논란 은근히 신나하는 국민의힘?https출처윤석열 x파일 논란 은근히 신나하는 국민의힘?youtube.com6070', '최고위 발언윤석열x파일논란 공작정치 신호탄안철수 윤석열 x파일 논란 공작정치 신호탄 국민의당 최고위원회youtube.com121 2213 2', '송영길 난윤석열x파일없어 야당 내부서 정리했을 것 윤석열 x파일 논란에 송영길 대표가 꺼낸 의미심장한 말 아마 검찰총장 인사 검증 과정 중 야당 내에서 vop.co.kr24 33']"
윤석열,입수,2,"['김무성 배후설 일축 장성철 x파일입수 나와 무관https20062 3001?inputtw국민의힘 김무성 전 의원은 이른바 윤석열 의 배후설에 대해 자신과는 무관하다고 밝혔습니다.', '보수 정치평론가 장성철 윤석열x파일입수방어 어렵다 판단 출처 이효진의 . 블로그 김무성 따까리라 역시http12', '언론이 덮으면 다 되는데 뭘. 야권 인사 윤석열x파일입수.방어 어렵겠다https04721gif']"
윤석열,공작,2,"['최고위 발언윤석열x파일논란 공작정치 신호탄안철수 윤석열 x파일 논란 공작정치 신호탄 국민의당 최고위원회youtube.com121 2213 2', '무대응 공작 말라윤석열x파일강경모드 급선회 왜?https221285001?inputtw온갖 억측이 난무하면서 파장이 커지자 정면 돌파에 나선 겁니다.', '윤석열두둔 안철수 x파일은 공작정치 신호탄허튼 세력 색출하자 출처 헤럴드경제 네이버 뉴스http 속이다 시원하다안철수 대표님 응원합니다 25 1 7']"
파일,대변인,2,"['대변인 손절에 x파일 돌출 링 오르기 전부터 겹악재https20029001?inputtw윤석열전 검찰총장의 대권 행보가 링 위에 오르기 전부터 삐걱대는 형국입니다.5010', '잘 나가던윤석열첫 위기 서 x파일 거론 대변인 사퇴https00900048 11751?sid100 유승민 하태경 이준석이 입이 찢어지겠구만.', '윤석열x파일이 대체 뭐길래. 엄청난게 나온 모양입니다.대변인 이동훈 10일 만에 사퇴. 난파선에서 가장 먼저 탈출하는 쥐 같은.']"
파일,소장,2,"['윤석열x파일 장성철 소장공감과논쟁 정책센터 이상하리만치 너무 평온하다. 마치 스케줄대로 각본대로 움직이는 사람처럼.', '장성철공감과 논쟁 정책센터 소장 법적으로 보호해주면윤석열x파일공개 하겠다 11', '얼마 전윤석열전 검찰총장과 처 장모의 의혹이 정리된 일부의 문서화된 파일을 입수했다. 윤 전 총장에게 많은 기대를 걸었지만 국민의 선택을 받는 일은 무척 힘들겠구나.고심 끝에 내린 결론. 이준석 비단주머니도 소용 없어.몰랐더라면 좋았을 파일장성철 윤석열 파일 입수.국민 선택받기 무척 힘들 것서울 뉴시스 김지현 기자 정치평론가 장성철 공감과논쟁 정책센터 소장은 19일 페이스북을 통해 얼마 전 윤석열 전 검찰총장과 처 장모의 의혹이 정리된 일부의 문서화된 파일을 입수했다 며 윤 전 총장에게 많은 기대를 걸었지만 이런 의혹을 받는 분이 국민의 선택을 받는 일은 무척 힘들겠구나 라는 게 고심 끝에 내린 결론이라고 밝혔다. 장 소장은 news.v.daum.net17313315']"
파일,공감,2,"['윤석열x파일 두 가지 버전 있다는데 그 중 하나는 열린 공감tv에서 작성한거 라는데 이재명이 봤다는 게 이건가? 윤석열씨도 이제 이재명 x파일 슬쩍 흘릴 때가 되었어요17 19', '윤석열x파일 장성철 소장공감과논쟁 정책센터 이상하리만치 너무 평온하다. 마치 스케줄대로 각본대로 움직이는 사람처럼.', '얼마 전윤석열전 검찰총장과 처 장모의 의혹이 정리된 일부의 문서화된 파일을 입수했다. 윤 전 총장에게 많은 기대를 걸었지만 국민의 선택을 받는 일은 무척 힘들겠구나.고심 끝에 내린 결론. 이준석 비단주머니도 소용 없어.몰랐더라면 좋았을 파일장성철 윤석열 파일 입수.국민 선택받기 무척 힘들 것서울 뉴시스 김지현 기자 정치평론가 장성철 공감과논쟁 정책센터 소장은 19일 페이스북을 통해 얼마 전 윤석열 전 검찰총장과 처 장모의 의혹이 정리된 일부의 문서화된 파일을 입수했다 며 윤 전 총장에게 많은 기대를 걸었지만 이런 의혹을 받는 분이 국민의 선택을 받는 일은 무척 힘들겠구나 라는 게 고심 끝에 내린 결론이라고 밝혔다. 장 소장은 news.v.daum.net17313315']"
파일,대선,2,"['실체도 근거도 없는 걸 뭘. 윤석열 x파일단독 x파일에 낭비할 시간 없다 윤석열 반격 준비완료윤 전 총장 대선 출마 선언을 계기로 정면 돌파를 시도한다.mnews.joins.com', '장성철이윤석열x파일이라고 도는 파일보고 코멘트를 했나봄 검증의 무대에 오른 윤석열 넘 기대되고욬 대선경선 정치판 꿀잼일듯', '근데 정말로x파일뿌리는 거는 민정당 입장에서도 최후의 수단이라 윤석열이 데려올 정혐층 없이는 대선 이기기가 쉽지 않고 따라서 이 알아서 민정당에 고개 숙이고 들어오길 바랄 것임18']"
총장,관련,2,"['두 가지 버전 있다 윤석열x파일에 뭐가 있길래https210549001?inputtw전 검찰총장 관련 의혹을 정리한 것이라는 이른바 이 정치권을 들쑤시고 있습니다.18', '윤 전 총장이 뭉겠다는 재벌 비위 수사의 예로는 윤석금 전 웅진그룹 창업자이자 회장이 간여된 웅진플레이시티 의혹 관련이 거론됐다.27', '약속이라도 한듯 또 튀어나오네? 니들 수법이 너무 노골적이고 역겹다. 김종인이 17일윤석열전 검찰총장이 민심 투어 관련해 민심 투어 한 사람이 한 두 사람이 아니다 라며 옛날에 손학규 전 대표도 안철수 대표도 똑같이 민심 투어를 했다 고 지적했다. 니가뭔데http설정 변경보기']"
