,neg_words,count,documents
0,비판,87,"['이재명이 윤석열과 검찰을 제대로 비판한 것을 본 사람?은 윤석열도 검찰도 비판하지 못한다. 아니 할 수가 없다. 그 이유는? 혜경궁김씨 이재명을 출당하라 11', '이재명에 대한 비판은 근거가 전부 명확하고 객관적임. 이낙연에 대한 비판은 근거가 전부 가짜뉴스거나 주관적임.1661 76', '이뷰 오락가락 하긴 해도. 홍영표의원님이 이낙연 지지선언을 하시니 우리 여니한테 안착하시겠다고 그나저나 미친이재명지지자들비판하는 국민들은 다 고발하고 다닐래? 악랄한 것들22 18']"
1,재난,71,"['내 경제수준이 80.001 이라도 대한민국 국민중 상위 20 안에 속한다면 재난지원금 필요 없는 윤택한 삶을 살고 있는 건데 그거 못받아서 화날일이 없죠 바보같은 이재명92139', '이상이 교수가 이재명기본소득을 비판한다 고 징계 받는다면 청와대에 재난지원금 전국민 지급 안한다고 공개적으로 비난하는 국회의원 도지사 당원들도 모두 징계 받아야 한다.141106', '더민주당 등신 새끼들이재명따까리 노릇하느라 전국민 재난지원금 타령하며 기자회견까지 하고 자빠졌네. 언론개혁과 검찰개혁 판문점 선언 비준안 통과시킬 의지 없지 너네?253260']"
2,욕설,30,"['건너 아는 여성 어르신.이재명욕설 파일 우연히 들었는데 정이 뚝 떨어졌다 고. 욕설 파일 카톡방에 뿌리는 거 법적으로 문제가 되나요? 편집해서 뿌리고 싶네요2126935 1', '이재명지지자와 국민의 당 지지자들로부터 별 별 욕설 다 들으면서도 꿋꿋이 문재인 대통령을 지지하고 이낙연 대표를 응원해주시는 여성 문파분들 존경 스럽고 감사할 따름4972', '이재명은 욕설파일 하나만으로도 우리 당 윤리규범 위반으로 특별당규에 따라 제20대 대통령 선거 후보자 피선거권 박탈임. 17574634']"
3,거짓말,28,"['이재명깜놀 표정 coming soon 16년김부선이 나타나서 이 거짓말쟁이야저 표정 끌어내 라 지시 비서실장 등 2명이 김부선 팔 잡고 제지 21년 coming soon', '열린 공감과 김용민이 조국을 돕기 위해 최성해의 거짓말을 퍼뜨리겠는가.이재명을 위해 이낙연을 무너뜨리려 조국을 도구로 이용하고 있는 거지.6448', '이명박이 거짓말 할 때 혀를 낼름 거린 다 윤석열이 거짓말 할 때 고개를 좌우로 흔든다 이재명이 거짓말 할 때 고개를 삐딱하게 세운다1321 20']"
4,어렵다,28,"['이재명이 집권하면 정치판에 기웃거리며 도둑질하는 놈들은 불로소득이 어려워진다. 이낙연정세균을 지지하는 패거리들이 방해질 하는 이유도 마찬가지다. 끼리끼리 다 처먹고 싶은데이 집권하면 어렵기 때문에 차라리 야당에 넘겨 떡고물이라도 챙기려는 것이다. 이낙연과 정세균은 숙주다.22', '오늘 이재명이 정부에게 당정 합의를 깨고 자신의 주장대로 전국민 재난지원을 할 것을 요구했습니다. 대통령이 정부 지원도 가장 어려운 이들에게 더 많이 집중되어야 한다 라며 선별지원 의사를 분명하게 밝혔는데도 당정합의 파기를 요구한 겁니다.씨는 대통령 말씀까지 무시할 겁니까?27884850', '영기리 민주당 의원 나리 댓글 쫌 보소 종편 벌금 맞고 썅욕 죙일 틀면 감당하게냐 국짐당 그렇다치고 민주당 썅욕 국제파 음주운전 검사사칭 논문표절 불륜소송 점확인 일베고백 전화 욕설 기절시키기 등 여기 일반인 1개도 평생 몬한다 바닥 민심이다 영기리 개시키야홍준표 이재명은 쌍욕하는 사람.막말 프레임 걸기 어려울 것국민의힘 홍준표 의원이 이재명 경기지사를 겨냥해 쌍욕하는 사람이 막말한다 고 얘기하는 건 더 웃기다고 말했습니다. 홍 의원은 초선 의원 공부모임인 명불허전 보수다 강연에서 이 지사는 막말을 넘어 쌍욕 하는 사람인데 이제는 내게 막말 프레임을 걸기가 어려울 것 이라고 했습니다. 그는 정권 교체를 위해서는 보수가 비주류가 됐다. 외부에 있는 세news.v.daum.net']"
5,가짜,26,"['내가 우파임을 강조했을 때 이재명이 보이지 않았다. tk 우월주의의 탐욕을 경험하고 가짜 우파에게 횡포를 당하면서 윤석열이 보이고이 보이기 시작했다. 좌파도 마찬가지일 것이다.', '이재명에 대한 비판은 근거가 전부 명확하고 객관적임. 이낙연에 대한 비판은 근거가 전부 가짜뉴스거나 주관적임.1661 76', '이 모지리 민주당 국회의원들이 진짜 깡패양아치들인가? 바닥민심은 돈뿌리지 말고 내세금 더 떼어가지 마라 인것도 무시하고 이재명가짜 기본소득 띄우려고 막대한 쌩돈을 뿌리는 것들이 경제부총리를 자기뜻대로 조정못한다고 임명권자 들으라는 듯이 자르겠다 고 협박을 해? 미치지 않고 서야23 12']"
