word,count
후보,323
경선,306
대선,271
대통령,216
국민,197
지사,184
재명,141
의원,121
나라,117
지지,109
검찰,108
대표,100
정치,99
선거,88
비판,87
자격,84
정부,80
새끼,77
지원금,75
지지자,75
출마,74
조국,74
뉴스,73
정책,72
개혁,71
재난,71
쌍욕,69
연기,68
경기,65
기자,63
선언,62
원칙,60
이유,60
여부,56
지지율,56
언론,55
복지,51
지급,51
시작,50
대권,49
주자,48
당규,47
장관,47
교수,47
트윗,47
주장,46
인용,46
여성,45
파일,43
참여,43
소득,42
캠프,41
윤리,41
다음,41
전과자,39
징계,37
필요,37
관련,36
사진,35
도지사,35
기본,34
공개,34
당헌,34
어록,33
세금,32
결정,32
본인,31
정신,30
가능,30
인간,30
욕설,30
경제,30
말씀,29
국가,29
운동,29
정치인,28
상황,28
거짓말,28
정권,27
반대,27
당원,27
민주,27
투표,26
가짜,26
수사,26
준비,26
이야기,26
시장,25
지원,25
변호사,25
요구,25
수준,24
얘기,24
형수,24
설정,23
공정,23
총리,23
공격,23
결과,23
변경,22
반문,22
이날,20
개인,20
