word,count
지키다,167
열리다,116
이기다,66
밝히다,59
올리다,55
보이다,52
모르다,48
만나다,41
향하다,30
나쁘다,28
느끼다,27
어렵다,26
알리다,25
책임지다,24
힘내다,24
보내다,24
바라다,23
고맙다,22
