,neg_words,count,documents
10,죽이다,78,"['윤석열은현재 우리나라의 자유민주주의가 무너졌다 고 했는데검찰이죽이고 싶은 사람은죽이고살리고 싶은 사람은살려야 하는데 그렇게못하게 법과 제도를 바꾸니까 그런 평가를 한 것이 아닌지', '예전부터 그런 생각이 들었음.반공빨갱이라는 말로 마음에 안드는 사람을 죽였듯이.반페미라는 말로 마음에 안드는 사람죽일거라고.n그런데 그렇게 되었음.', '부끄러운지모르면철면피라고 한다n윤짜장한번에죽이지말고한땀한땀바늘로코뜨듯이피말려 죽이자.n추석때같이 기다릴거없다.하루에 한 건씩']"
11,손해,76,"['윤십원n토론좀한번시켜보자n볼만하겠다.nn윤십원n컴활자격증도따야겠네.nnn윤도리도리를n국민의짐에서 받아준대?n nn국민의짐너무n손해보는장사.n국민의짐이미지.n더.망하겠다.', '19 등류호정이1등이 되는 세상이니까남자들이 뭐라하지작은손해에도왈가왈부하는 건여자들이니까남자들은 작은손해는말하지 않는다 고근데 그걸안아라주니까2030 이나 대는거지', '징벌적손해배상죄를최강욱의원님이발의한 걸로입법해야 한다 고러더의김인수변호사님이자세히 설명하셨어요민주당 정신차리고 최강욱법안을 입법하세요 언론개혁을 빨리하십시요']"
12,불안,76,"['짜장이외웠던 것도잊어버려서횡설수설양심에찔리는 것이 너무 많이서정서가저리도불안한가?텅텅빈것같은 대가리를 도리도리하면서 입으로는무슨 말을 하는 지본인도 모르는 것 같다.', '정서불안과뇌시상하부의 시선고정거부장애로 인한도리도리증후군이라고 합니다.n학명은doridorysyndrome이며 이증상의자가 진단 기준은분당rpm18회입니다.', '뭐가그리불안한지잠시도고개를가만두지못하고좌우로흔들어대는꼴이라니저런사람이 국가지도자가 되겠다고 나서다니.참고개젓는숫자만세다가정신사나워채널돌렸어요']"
13,부정,76,"['보수들은 무지빨고있음다수결원칙도부정하는 대권 후보나왔음에도 그런 건언급도없음심지어천안함모자쓰고나왔다 고 정작천안함유공자예우를해준건문재인 정부 인디정작천안함이용하는 소위보수들', '심리학자한테물어보고 싶다 조선일보의일러스트사용이 유를 혹시보는 이들의 무의식에문통조국의 부정적인 상이 심어지는 건 아닌지 그런 걸노리고 계속 이런짓을 하고 있는 건 아닌지', '윤짜장은 부정을긍정으로 거짓을진실이라말할 때도리질합니다.그건심리적양심이대갈통을어지럽게하거든요.그때보면눈촞점이풀려있고 그다음고개를꺄뚱하고 어깨를들썩이죠.아.쫄려.하면서.']"
14,실망,70,"['쥴리가김건희된걸능력이라며 국모로추대해주는태극기들이 실망하겠네호적에오른이름이윤씨가알고 있는 이름일테니업소가햇갈리고 이름이한획정도햇갈리는탓에사실을 모함으로 물타기하는 전전긍긍', '이낙연은조국전장관님너무 무관심한걸로봐서최성해말이설득력이 있다고 봅니다 이나연너무너무실망스럽다나쁜 놈 이다고 생각한다 총리시절조국전장관님그토록수모를당해도 너무 무관심했다', '한 목소리를 내줘야할 의원들이 몸사리고조국추미애장관무참히당해도저만치거리두기나하고 민주당부터 개혁필요함한동안너무실망해서 진보유트브안보다 가황희두알리미님방송다시봅니다']"
15,무섭다,69,"['최저임금올리는 거반대전에본사가 가져가는 수수료 인하를 먼저얘기해라.대기업은 무섭고 최저임금근로자는 안무섭냐?', '민주세력강성지지자들당신들입니다.n솔직히 말들해보세요 이대남이무섭다 미래가두렵다말로만그러지이대남이사실제일만만하니이렇게앞장서서패는거 아니겠습니까?', '어려서는들은 이야기순사온다하면울던아이도뚝그친다 그만큼무서웟다국민들백성들이n검찰하며는무서워한다 대권자들도 검찰무서워국회의원들무서워호랑이보다']"
16,승리,67,"['이재명지사님이대통령이 되어야 하는 이유nㅣ.가정환경이n어려운 가운데n인간승리를 한분입니다n공약은실천한다.n어려운 사람들의n심정을 잘 안다.n국가운영전반적인n것을오래준비해왔다.', '광재씨사람은 무엇이 되는 것보다 어덯게사는야가중요하다고 봅니다 고향망신시키지 말고 정치그만두시고반성하고 사세요민주당 대통령 후보는 이재명지사여야승리한다고 믿어의심치 않읍니다', 'n정의는반드시승리합니다.n그렇지 않다면 인간세계의 앞날은n매우 불행할 것입니다.n그고통을 조금이라도 나눌 수 있었으면n 이글을 쓰는 것밖에n힘내십시요조국교수님가족여러분']"
17,아프다,67,"['총수님마음고생이크시겠어요힘내십시요총수님을믿고 의지하는 수많은 지지자들이 조국장관님께빚을져서지켜드리지 못함에마음아파울분을터트립니다 부디어렵겠지만 조국장관님을지켜주세요', '이재명이세계일보기사상검찰개혁시기상조라고 하고sbs정치 기사상김경률면접관선정에 좋은 생각이라고 했다는 기사를우연히봤습니다.팩트체크좀해주세요.아.정말머리아픕니다.ㅠㅠ', '그냥.왜?그런진모르는 데.n문재인데통령 만보면맘이짠하고 안쓰러워요.n사람들이 배신하고 너무욕을많이 하는 거같아맘이아파요.n건강하시고늘.힘내셨음좋겠어요.']"
18,부끄럽다,66,"['한국땅에서 세금으로봉급받는넘이헌법정신을 위반해놓고n할말없으니하나님팔이하고 있어후.n어떻게꼴통우익들은 하나같이 하나님팔이만하나님핑계만대고있냐n부끄럽지 않냐?겁나지 않니?천벌받을까봐서', '하나님을그따위로팔아먹냐.n기독교인으로서 부끄럽네.n정의와공의의하나님을욕되게하지 말라.n예수님을팔아먹은가롯유다같은놈일뿐이고n하나님을 가장한시탄의지배를 받고 있는 광신자일뿐이다.', '현 정권서누릴권력다누리고 또 무슨권력을쥐어보겠다 고끝없는욕심에명예고뭐고욕심들이똥창까지 가득 차서국민들을힘들게 하는 수구꼴통편그놈들지들욕심때문에 배신때리는놈들부끄러운줄알아야지']"
19,거짓말,63,"['웃기지마라ㅡㅡ증인도있다고 하는데ㅡㅡ거짓말좀그만해라ㅡㅡㅡ윤씨할배가한짓이ㅡㅡ용서받지 못할죄인거는알겠네ㅡㅡㅡ국민이용 서않한다ㅡㅡㅡ대를 이어ㅡㅡㅡ죄값치뤄야노될지말지다ㅡㅡ천벌받아라ㅡㅡ', '최성해는신뢰할 수 없는 자이나그자가하는 말이 모두 거짓일수 없지요.지놈에게 불리할 때거짓말을 하지만 유리할 때는 진실을 얘기하는놈이죠.신유진씨판단방향실망입니다.', '김건희는말만 하면거짓말100술집나가고n얼굴성형하고 이름바꾸고n검사와 동거이게100 사실입니다n정대택이증인하였읍니다n양검사와 해외여행도가고n이것은 사실이다']"
