,pos_words,count,documents
11,좋아하다,87,"['전광훈이가뒤에있는 거맞을껄요?아마김승규를위시한자칭보수교회들에서n밀어주겠죠.같은 기독교인으로서참으로쪽팔린일입니다.맹박이도그렇고.n이렇게비웃음거리가 되면하나님이퍽도좋아하시겠다.이런.', '십대후반친구들을 알바로쓰고 있는 자영업자입니다.요즘18세 이상이십대중반친구들은 무조건강한 사람을 좋아합니다.조금법을어기더라도 강하고 돈많으면 그사람에게머리를숙이고좀없다 특히돈', '주위에서도 국짐당지지하는 사람들도 이재명지사를 좋아하더라구요지사님이약간보수적인 면도보이나봐요민주당이긴한데아닌스타일?몬가추진할거같은 스타일?n윤십원은 자기가족경제 나살릴겁니다']"
12,멋지다,86,"['임현정님의연주.정말멋집니다.현장에서 들으면 얼마나 더가슴벅찰지.계속돌려듣느라뒤로못넘어가고 있습니다.멋져요.고마워요', '추미애후보멋집니다.끝까지응원합니다.이재명과멋진경쟁을 해보세요.민주시민의 응원을 들어주시기 바랍니다', '좋은주제로 함께하는 걸 보는 것만으로도n내일의안도감과풍성함을 느낍니다.n황희두님혼자서 방송하는 거에 익숙해선 지n토론을 이끌어가는 모습이색다르고멋집니다']"
13,배우다,80,"['윤십원님그렇게추미애장관님의부하가아니라고 할 때반항하지 말고부하로잘배웠으면추장관님의반이라도 할 수 있지 않았을까요까불다잣된것 같은데 지금이라도반성하고태도전환할 의향없나윤', '이준석도그냥나이어린수꼴이죠.발언이나 하는 행동보면생물학적나이만어린노회한위정자수준입니다.어디서아주못된 것만정치판에서 배운듯하네요.혁신이나 신선한 행보는 없고쇼맨쉽과변명', '참야당지지하는 사랑들이해가 안돼못배운나같은 사람도어디가옳고그른지알것는데도데체윤석렬이대권 도전한다고 하니무슨나라를 구원하는 사람처럼환호하는 것보면참한심하기짝이없네']"
14,희망,72,"['오늘 아침이재명지사님대선 출마연설을 했다 지사님이평소주장해오고 실천해왔던별새로울게없는 내용이였는데설레고희망이 생기더라.문통은귀막고눈닫고사는 가왜국민들의 얘기에 귀안기울이는지', '임은정검사님n존경하고 사랑합니다.굴하지 않는올곧은모습항상 보여주시며걸어오신길.n감사합니다.n님이계시기에 이나라앞길이희망이 있습니다.n더욱분발하시며힘내시기를삼가당부드립니다.', '이맥박이는 현대사장서울시장이라는 경제를잘살릴것 같다 라는 희망이라도 있었지윤썩렬은비리말곤아무것도 없는 대도지지률높다는 게 정말 이해불가저러놈대통령뽑아주는머저리들은설마없겠지']"
15,친구,69,"['십대후반친구들을 알바로쓰고 있는 자영업자입니다.요즘18세 이상이십대중반친구들은 무조건강한 사람을 좋아합니다.조금법을어기더라도 강하고 돈많으면 그사람에게머리를숙이고좀없다 특히돈', '세상살다힘들 때옆에 있는 사람이 진정한 친구입니다.즉그동안의 친구는 친구가 아니었던 겁니다.힘내십시오.', '친구들욕할것 없는 게.만약에조민유리한증언하면그친구는 물론 그가족들까지 검찰이 가만놔뒀을까?민주당 이나 대통령도 아무것도안하는 모습을뻔히보면서.']"
16,정상,65,"['정말이상한정신나간이야기하고 있네요조국이국민들피곤하게 하는 건죄에가깝습니다 정신병자들을 더 이상뉴스에서 사라지고죄에는죄값을받은 나라가 정상인데아직조국이왜죄값을안앋고있나요?', '저도프리랜서 디자이너인데일도남편버는거이상하고 집안일더하고 아니다 하고 합니다.남편이연차일때신경은쓰이나게임을 즐겁게 하도록합니다.아내분비정상같아요.코골면거실로나가요', '민주당도 지금의 사태에 책임이 있습니다 지금이 정상입니까???너무너무 이해가 안 됩니다뭐하고 있습니까????지금장난하고 있습니까?180석.왜주었넌지깊이생각하세요']"
17,재미,64,"['새날방송은 항상재미 있어요n최재형은처가가약해. 천부적순발력마차님의유머감각 n어눌한것처럼 보이지만뼈때리는 정변의사님 n디테일확인사살볼매임지님 n명엠씨리더푸른나무님.모두최고입니다', '도리 도리대회에 나갈짜식이윤기념관을빌려서 단독도리도리플레이진짜재미업엇당연습많이해가지고 도전해야지 12월까지 도리도리할 수 있을까n독방으로 가는 것이 빠르것당', '차기 대통령선출이누가 될지.매우흥미롭다.그결과가이나라의 미래를 결정할기로에선것같다.하하하.정치인들참재미를 선사하고 있네.드라마도 이렇게.재미 있기힘들다.']"
18,인정,62,"['비서관자리두고 공개오디션했으면 아무 문제없었다고 봅니다.n공덕포차에서 토론해보고 이철희가키워주는 인물을 이철희혼자능력인정하고꽂아준게문제란인식조차 없는 게 문제입니다.', '이동형작가님은정말최고 최고n똑똑해잼있어섹쉬해정시렵지n어려운 사람에게 인정도 있고n지n정말버릴데가없는 우리이작가님n건강정말정말 잘지키셔야하는n우리의보물보물입니다', '맞아요.난교과서만 가지고 공부했는데.시험은과외를해야잘볼수 있게출제되어망함. .근데.과외안하고 서울대간친구들이 있어서능력이안됨은인정.']"
19,적극,60,"['홍남기는ㅡ제2의윤석열이다ㅡn민주당.지지율올라갈n건마다.항상테클걸며적극방해작업한다ㅡn지켜볼때.홍남기엔어려운국민따위.대통령따위.존재하지 않는다.n그는퇴임 후국민짐에분명직행할 것이다ㅡ', '전이번 대선에서 추미애님을적극 지지합니다.추미애님만이타협없이 개혁이 가능할 거라봅니다.추미애님말씀들으니너무 마음에듭니다.그저국민이바라는 게무엇인지 정확하게 알고 계신 분입니다.', '이용복의쥴리아??july의계절이 되었습니다.윤석열의처가영부인까지되려고적극적으로 나섰네유??앞으로 열이를 위해서열일하겠넹?그러나 부메랑을많이 만들 것으로 예측된다 고???']"
20,재밌다,51,"['나도저런여자친구가 있는데. 난아주재밌던데어떻게 이런포인트에서 이렇게화내지신기하다 하면서.내생각엔남자가 대처를 잘못하는 듯어떤여자만나도맘고생할듯', '저도아날로그식이라 n그런 거잘모르는데 박주민 의원님의n제페토사무실과경기도청년발대식을n지사님과청년들이메타버스로 하는 거n보니까너무 재밌더라구요', '윤석열측이감방으로 갈까반윤석열파사람들이 감옥으로 갈까재밌는 이야기거리라고 본다.적어도 어느 한쪽은감옥으로 가야 할 운명이라고 본다.']"
21,이루다,49,"['검찰 수사권완전박탈이문통임기내에을꼭이뤄지도록 힘을 실어주십시요.그래야이후 모든 대통령들도편안한노후를보내실수 있습니다.그래야촛불국민도소원성취하여행복해질 수 있습니다.도와주십시요.', '뻘짓은최재영이하는 데.n부끄러운 것은왜하나님의몫인가.nn하나님이혹시그러시진않았니??n너는그땅에서 네가할일을다이루었다n그러니나에게 돌아오라라고n하나님이부르신다얼럼가보렴', 'n대통령은 헌법이보장한인사권을n적극적으로 행사하겠다고 하셨지n이제야검찰의 인사가n공무원신분에걸맞게 이뤄진 것 같다.nn이제남은 것은n윤서방파척결하는 것만남았다']"
22,행복,47,"['검찰 수사권완전박탈이문통임기내에을꼭이뤄지도록 힘을 실어주십시요.그래야이후 모든 대통령들도편안한노후를보내실수 있습니다.그래야촛불국민도소원성취하여행복해질 수 있습니다.도와주십시요.', '조국가족이 일상을 되찾고n행복하셨슴좋겠네요n3년간너무 고생하셨는데n다행입니다 차기 정부에서n우리법연구좀해주셔서 국회가올바른입법좀하도록n도와주시면 좋겠는데', '기업의 이윤 굳이 n나도해야겠다 괜히뜸들이고 있었네뻘쭘n이게선한영향력?행복한주말에기분좀내볼까 nn근데가족들도동의를 해야가능했을텐데 .그대가족분들에게도박수']"
23,새롭다,45,"['이 방송제일마음에 들어요보통 사람에게 이런 방송은 삶을 유지도시키고 새로운꿈을 키워요.세상엔순쉬리도 있고.도리도리도 있고.쥴리도 있고. 근데.한순간.', '추미애이세분이열민당으로 가서 새로운당을 만들어야 된다고 생각합니다 개민주당 추미애 대권선언할때아무도안가봤다구요?잡놈들도 그렇게는안할 것 같네요', '대한민국위상이높아진걸언론은 보도를 안 하는 것이 그야말로 국민의알 권리침해라는 걸명심해라언론은반성하라이제새로운 세상이 열리는데 기쁘지아니한가']"
24,가치,44,"['g7보도는한국언론의썩었다썩었다 하지만 아예가치가 없다는 걸 보여줬다 생각합니다n일본 총리가외톨이취급안받았다는 게n더중요한보도가치인 한국언론.어이가 없어요', '이탄희의원님뵈니너무 좋아요 저도책여러권예약해뒀어요 조국의 시간.추미애의깃발진보진영분들의책들은 진짜마음의양식들임그만큼가치있다는 것 사람이 높은세상 두분응원합니다 박시영티비도응원합니다', '무식해도 이렇게무식할 수가 있구나n하는 생각을 하게 한대표적인 케이스가 아닐까?n그무식의행보와그결과가 매우궁금한 데 이제존재가치가 없기n때문에 나는 신경을끌란다.']"
25,용기,41,"['n열공티비의용기와 열정에감사드립니다 이낙연이 이녹취록에적극 나서주는 게 정교수재판을종결지울수 있는데 아군인지적국인 지당체정체를 모를정치꾼', '양대 노총과척을지고n대한민국에서 정치인들이 살아남기 어렵다.n하지만용기 있고똘똘한대리인을 선택하면n그토록바라던적폐카르텔을박살낼수 있다.', '부끄러움모르는짐승만도못한내로남불을배워서뭐하게 요.무식하면용감하다 고.무식해져야 하나.민주당사람들이 배워야할건불의에맞서는배짱과용기.']"
26,축하,38,"['아윤석열증말대통령깜n너무너무 잘했다n진정우리나라유치원대통령n너무환상적인 도리도리n완전끝판왕존경스러운도리도리n와아이런 대통깜이땅에 다시는못나올 것 같아요 n윤십원축하해', '임은정검사님?이제황금어장오픈할 수 있나요?축하드려요부디거물망에비린내쩔은썪은생선들가득잡아올리시길간절히격하게 바람니다촛불시민들간절한소원입니다힘내주십시요언제나응원합니다', '임은정검사님감찰담당관되심축하합니다 많이 힘드실것입니다 그동안 국민이힘든부분들하나씩해결하시라믿습니다응원합니다 조민쌤미안합니다 그심정아희두님응원합니다몸조심하세요']"
27,대상,37,"['홍남기잘라라.홍남기는 전형적인 관료주의적폐다.관료주의도개혁대상임을잊지 말라.국가를병들게 하고망국의길로 이끄는관료주의는사라져야 하고 그대표적잘못된 인사홍남기는 당연히잘라야 한다.', '산사태를 일으키는 최근의촌극이대표적인 비판대상이었습니다.이대남들은애초에환경과 개발이상호배타적이라 생각하지도 않으며', '조중동은언론기능을 상실해서 강제로 개혁을 해야 하는 대상.조국장관님가족에폐악질을저지른조선일보부터폐간시켜야함']"
