from,to,depth,documents
"youtuber
in youtube_02",언론,1,"['조증동은언론의 자유만누리고 언론의책잉과의무는망각했다.그래서 자유에걸맞는 책임과 의무를 부여해야 한다.그래서언론개혁이 필요하다.', '모든 게다진실로판정날때까지뭉개고수사하시게?당신들언론이야.의혹이 있으면 그 의혹이 합리적이고 증거의일부가 명확하면알려야 하는 게언론의할일이야.진실인지수사하는 게 당신들일이 아니고.', '검찰개혁언론개혁.언론사들.가짜뉴스악이적인 보도허이보도징벌적손혜배상입법하고 농락하는 언론기레기들.모조리박멸국가기강을바로잡아주십시요검수완박검수분리우리가 조국이다 우리가 이긴다']"
대통령,후보,2,"['다스뵈이다 167회이후로추미애후보를 대통령 후보로 지지하겠습니다n이재명후보에게 기대하던점을다갖추시고도확실히실행하실 것 이믿어집니다n앞으로의 행보도관심을 가지고 지켜봐야겠습니다', '홍남기도대통령나오나?윤짜장.최재형.문재인 정부 내내공직에 있던넘들이 공직이뭐하는 곳인지개념도없이뒷퉁수만치다치다.국짐당대통령 후보로??인사추천한넘이누군지.깊이반성하고 있기는 한가?', '차기 대통령 후보는개혁을 어느 정도성취가되면경제와 복지쪽을집중 공략해야유리하다.더불어불완전한개혁을 마무리짓는의지가꼭필요하다n문대통령은 위대한 인물로 전 세계역사에 기리남을 것이다']"
대통령,홍남기,2,"['홍남기가 대통령이 다.n홍남기대통령만세n만세만세n홍남기대통령영원하라.n물러터진민주당 정권.', '홍남기도대통령나오나?윤짜장.최재형.문재인 정부 내내공직에 있던넘들이 공직이뭐하는 곳인지개념도없이뒷퉁수만치다치다.국짐당대통령 후보로??인사추천한넘이누군지.깊이반성하고 있기는 한가?', '홍남기는ㅡ제2의윤석열이다ㅡn민주당.지지율올라갈n건마다.항상테클걸며적극방해작업한다ㅡn지켜볼때.홍남기엔어려운국민따위.대통령따위.존재하지 않는다.n그는퇴임 후국민짐에분명직행할 것이다ㅡ']"
대통령,이재명,2,"['이재명이대통령이 돼도 더불어민주당에서 정책적인 지원을 해줄까?n당을장악하지 못하면 대통령은 자신의 정책을 제대로펼칠 수 없다.난그게불안하다.', '여러분들멍청이들아대통령의뜻이지 그게홍남기의고집?차마대통령에겐욕을못하지?바보들.이모든 게문재인의 마음이요이재명의뜻대로될까봐그런 거지.', '나는한걸음 더나가윤도리는 중간에 떨어져 나가대선에서 신당으로 나온다.그래서 어쩔 수 없이더민당이어 부지리.대선먹고총선서대패.의그림을 그려본다.이재명은임기중대통령중임제로 개헌간다']"
민주당,개혁,2,"['민주당에언론검찰개혁을 강력하게 주문해주세요가만보면관심도 없는 것 같아요180명개혁쇼에사기당한 기분이다 단누더기개혁법안을 만들거면민주당은 손도대지마라', '조국은검찰개혁도 하고 혼자언론개혁도하고 있다n자신을희생하면서까지 개혁을 하고 있다n민주당이 신중만하고 있을 때혼자다하고 있다n이재명or추미애다음은조국일듯', '민주당은모지리당입니다 국민들께서 180석을주셨는데도당당함은온데간데없고국짐쓰레기들눈치만 보고 국민들의 목소리엔전혀 관심이 없습니다 민주당부터 개혁을 해야 합니다']"
민주당,대선,2,"['홍남기경질해야 한다 민주당 국민을 위한 일하라홍남기민주당과대선망칠려고꼼수부린다 경제선순화되게정책을 실시하라 민주당 국민이낸세금전국민을 위해 지급해야지', '열린 민주당도대선후보를 내야만합니다 민주당하는짓거리보면열불나죽겠네요.n최강욱대표님꼭나오셔서 민주당과경선하십시요.시작은미약하나나중에는창대하리라', '민주당이번 대선은똘똘 뭉치지 않으면진다부동산 문제도 있고무었보다 나라를 팔아먹어도 지지율이 30있슴지난 대선새겨보세요촛불로탄핵된상태에서도준표승민이표합치면 30입니다 분열은필패합니다']"
국민,정치,2,"['그하나님.어떤하나님?n하나님이 정치하나보넹그짝하나님은.허허n이젠하나님까지 끌어다쓰넹국민국민끌어다쓰드만국민필요 없고하나님이라니.', '윤석열이머리가 안 좋기는 안 좋은 가보네n대통령께서 그리말씀을 하셨거늘n민주주의가밥이다n정치와 경제는 따로일수가 없다.정치가썩으면경제는 반드시썩는다.국민의 삶도썩는다', '흥행? 정치가장난이냐?그러니쑈라는 말이 나온거야장난지금 국민들하구하냐?걍대세를밀어주고정권쟂창출에 신경들써라썩을것들아니들맘대로 하지 알고촟불국민들마음에 들게해라콱마']"
국민,재난,2,"['코19국가정책에 적극호응하며n개인의 희생보다국가의 대통령님의지지에호응한국민의희생과참여때문이란생각을 조금이라도 했다 면n재난지원아니재난손실소급입법', '지난재난지원금안받은토왜당원있나?rn지난재난지원금안받은태극할배있나?rn주면다받을놈들이뭔선별지원금이여?n어쨋든지국민을편가르기해서 재미보려는역적놈들.', '응원합니다.홍남기부총리해임건의와전국민재난지원금국민청원올렸습니다.httpswww1.president.go.krpetitionstempxrnh77']"
국민,지원금,2,"['지난재난지원금안받은토왜당원있나?rn지난재난지원금안받은태극할배있나?rn주면다받을놈들이뭔선별지원금이여?n어쨋든지국민을편가르기해서 재미보려는역적놈들.', '종합부동산세는상위 1들이욕한다고 무서워낮추더니제난지원금에서 결국 상위 20버리네민주당은저래서국힘당2중대소리를 듣는거다 국민들그만속이고 국민의 민주당으로 합당하세요', '응원합니다.홍남기부총리해임건의와전국민재난지원금국민청원올렸습니다.httpswww1.president.go.krpetitionstempxrnh77']"
국민,대한민국,2,"['동네한바퀴야비한대통령꿈대통령하겠다고 하신 분이한가정을 그렇게몰살시켜도되는지 그분도대한민국 국민인데나와서뭘하실건지아님국민도발밑에때만큼 우스워보이는 지좌괴감듭니다.', '대한민국?이니면?대한반도는?무엇인가?모든건력은?국민이?잇으니?국민이 다.거짓것은?조용기는.80억가짜다.ㅡ이사때?난민주당 당언.돈내는 사람이다.ㅡ누가', '이거그냥넘어가면 대한민국과 국민을개돼지취급을용인하는 결과를 가져온다스스로폐간절차를 하지 않으면 시민들이 나서야 한다 저런쓰레기언론과한통속이던검찰전윤짜장과그추종자들을감옥보내야 한다']"
조국,가족,2,"['도리도리윤짜장막가파차친일파어버지가문무성장학생유학파하던가?조국에철저한열등감조국정관님잘견디셨습니다n도리도윤삽원가족조국가족처수사하라도리도리대통령출마회견아무나하나.', '조국장관이 검찰개혁한다 기에온가족을도륙했고진행 중이다 윤석열또한 조국가족털듯이모든 범죄의혹에 대해똑같이 보도하고 털어야공정이다', '조국장관을 수사하고 기소한 이검사들그대로 두면안 된다.n없는죄만들고 있는죄덮는검찰을바꾸지 않으면 이짓을앞으로도 계속한다.n명백한 증거가 바로조국장관가족들난도질이다.']"
윤석열,일본,2,"['김어준말대로윤봉길기념관에서 일본 기자에게윤석열이한말은도저히 이해가 안 되는망언n일본과의 경제 전쟁에서 조국이언급했던죽창가그리고 대한민국이 이경제전쟁에서 일본을이겼다.', '윤석열뇌구조가 의심스럽다좀모자라보이고초딩도저러지 않겠다지하에서 윤봉기의사가통곡하겠네일본을 위해서 나온거같다나경원윤석열일본으로 가라', '우리나라에잇는일본 간첩은일본문부성장학금받은 사람들이 거의다간첩이라는 데윤석열아버지가 일본문부성장학금1호엿지.그뿌리가 어디가겟어']"
윤석열,검사,2,"['새날힘내세요.n임은정감사관님축하드립니다.n썩은검사들그리고 공정과객관적판단을 한 검사들은 당연히칭찬을 받아야 합니다.n윤석열과그졸개들이 문제지만.', '윤석열은정부 수립후최초로 발생한 공무원시험조작 사건을덮어도아무탈이없을까잠시고민했겠지요?nn법률전문가검사윤석열은7년 만버티면공소시효가 종료되고', '아산병원산부인과 의사n조남욱삼부토건회장n양재택검사n제이슨n김범수아나운서n윤석열검사n등등n볼케이노많은남자들2차행']"
윤석열,최재형,2,"['대한민국소위우파들의저급함얼굴만바꿔가며막말페레이드젊어지나마나참한결같아그쪽은보기도듣기도싫어요.거기다 야당 대표대선 출마준비최재형이나윤석열이나그간의 정치적 행태다 이유가 있었네', '믿습니다.ㅡ3분은.그자리에서n그모습그대로.진보이길.바랍니다.배신자들이.판치는세상n하늘이.단명으로.처죽이리라n믿습니다.ㅡ아멘.ㅡn윤석열.최재형.두화상들을n명제촉하는 겁니다', '대통령병전염병이돌고 있네n제일상태가 심한윤석열최재형지금치료안되면불치병으로 된다n불쌍한인간들깨시민이뭉쳐서 치료해주자n처방전은 대한민국 미래는이재명과추미애가답이다']"
윤석열,인간,2,"['지휘만하면 되발언은나경원이 한말입니다 나쁜인간.윤석열때문에죄명이분멍한데도무혐의고윤석열와이프는내가줄리가 아니라고?', 'x파일을말하면감옥간다?n바로 그거네.n아무도말하지 못하게 만든거네n장성철.이인간이윤석열길닦아준거네.n그렇다면.n이여러 종류의파일들이 국힘에서 만들어졌다 면.n국힘', '공정과는 거리가 먼인간 상식도없는 인간 정의는 물말아처먹은십원짜리인간성인윤석열이지']"
장관,응원,2,"['추대표님이민주당에계셔서행복합니다nn장관직에계실때장관님을누구보다응원했 떡열이욕많이 했지요n고생많으셨슴다.n총선이내년이면임인년인데', '솔직히정치인추미애에게는관심이 없었습니다.n그런데법무부 장관이라는 독배를받고도 검찰개혁이라는 시대의 과제를굿굿하게헤쳐나가시는 모습을 보고반하게 되었습니다.n추미애후보응원합니다 화이팅', '추장관님너무강성이미지였는데 법무장관하시면서희생하고견디시는 거보고대단하시다생각이 바뀌었습니다.응원합니다.']"
장관,국전,2,"['이낙연은조국전장관님너무 무관심한걸로봐서최성해말이설득력이 있다고 봅니다 이나연너무너무실망스럽다나쁜 놈 이다고 생각한다 총리시절조국전장관님그토록수모를당해도 너무 무관심했다', '조국전장관님추미애전법무부 장관님끝까지 지지합니다 추미애전법무부 장관님대선주자로 지지해서 적폐세력친일언론들모조리싹싹쓰레기통에쓸어버리세요', '조국전장관님조선일보에꼭승소하새요n가족들억울함그한을푸셔야죠무재로n조선일보다 시는발못부치게없퍼버려야죠n조국전장관님힘내세요n웅원합니다']"
추미애,지지,2,"['그냥느낌으로 추미애장관님은n정직한 분이시고n믿어지는 분이시다n그러니민주당수박들하고는 비교가 안 되는훌륭한 분이시다n지지하고 성원합니다 추미애를대통령으로', '이낙연아김홍걸의원복직시켜라n넌절대호남사람들표못얻는다n김대중대통령님우리한테어떤분인데n호남사람들이낙연지지철회합시다n난이재명.추미애지지합니다 u200d', '조국전장관님추미애전법무부 장관님끝까지 지지합니다 추미애전법무부 장관님대선주자로 지지해서 적폐세력친일언론들모조리싹싹쓰레기통에쓸어버리세요']"
검찰,총장,2,"['홍준표가 이질문은꼭해주면 좋겟다.nn윤석열전검찰총장님아직도 검찰총장이 법무부 장관부하가아니라 생각하시나요?nn이질문해 도외통수아닐까 싶음', '김성회의옳은소리좋아요부장검사든총장이던성역없이 하려면 검찰예산반으로 축소감찰청만들어검찰경찰판사재판까지 민원인이 요구하면감찰하여 마무리할 수 있도록입법해야 합니다 사법개혁완수한다.', '5.16군사반란은김종필이구상하고 기흭실행하면서 처삼촌박정희를믿고앞세웠는데 박정희김종필을배신한 모습과윤석열검찰총장으로n검찰개혁반란하는 배신모습똑갇네요']"
나라,모르다,2,"['일본군을 상대로 총이없던동학농민군이대나무로 만든죽창으로 총든일본군을 상대로맨몸으로 나라를 지키기 위해 싸워야했던 우리조상들의그아픔을그비극을무식한9수도리도리윤석열은절대모른다', '언론이석열이보다재형이를 더밀어준다고 보기 전에 두 사람을경쟁 구도로 만들어흥행몰이를 하는 게 아닐까 싶다 n경제1도모르는석열과자기이익에만충실한재형그런두대갈에게 나라를?', '우리나라언론의 자유가 세계top클라스다.n그런데언론의 신뢰성은바닥이란다.n무얼의미하는지 모르는 사람이 너무 많다.n그러니썩렬이가 아직건재한거지.']"
나라,출마,2,"['뭔소리야하나님의계시로출마한다니우리나라 기독교서열이공동1위가목사와장로고3등이예수4등이 하나님인데.감히목사나장로의계시가 아니라고작하나님의계시로출마한다고????미친거아니야.', '아버지는출마하지 말라하고.n하나님아버지는출마하라하고.n세상에 이런 일이.n전광훈은이나라기독교를망첫고.n최재형은하나님의섬리를박살내겠네.', '홍남기.퇴출하면.n국힘당.대통령.후보로.n출마하나요.n박지원.김명수까지요.n권력기관들.n퇴출하고.국힘당으로.보냅시다.n미친나라에서.한번.살아봅시다']"
나라,국가,2,"['나라에돈이 없는 게 아닙니다.도둑놈이너무 많은 것입니다 제가 대통령되면 국회의원 100명으로 줄이고무보수명예직을함으로써 국가의 혈세를국민들에게되돌려주겠습니다 허경영.', '우리나라가 언제부터의리없는 국민의식이 지배되어 있는 가?n윤석렬의배신을 보는 청소년들은 앞으로 어떤가치관을가질 수 있을까?n국가의 미래가 매우두렵다', '홍강철김련희님이맘대로 하고 싶은 말다하는 나라가 민주주의 국가입니다.n근디윤도라도라넘은자유민주주의라네요?자유민주주의가무언지아세요']"
나라,망하다,2,"['우리나라가망해가고 있다?우리나라를 배우자고 하는 다른 나라 사람들이 알면배부른소리한다 고놀랄듯.', '고개흔드는 게 아니라 이쪽저쪽을보며배려하는 연설인데본질을안보는맹인들이 많아이나라가망하는 아닌가 민주당이 이나라망쳤다', '축하해주어야지 내가못가니까배가아푸나.사촌이논사면배가아푸다란속담이나라를망하게 만들어요.내니이팔십인데시대정신을 따라야지야당은잘하고 여당을 비틀면안 돼죠.']"
언론,징벌,2,"['검찰개혁언론개혁.언론사들.가짜뉴스악이적인 보도허이보도징벌적손혜배상입법하고 농락하는 언론기레기들.모조리박멸국가기강을바로잡아주십시요검수완박검수분리우리가 조국이다 우리가 이긴다', '같이도와야할민주당은뭐하는 거냐?n언론들의 도넘은오보에는 다같이 한목소리로 비판하며 언론의징벌적손해배상빨리통과시켜라.', '징벌적손해배상죄를최강욱의원님이발의한 걸로입법해야 한다 고러더의김인수변호사님이자세히 설명하셨어요민주당 정신차리고 최강욱법안을 입법하세요 언론개혁을 빨리하십시요']"
언론,보도,2,"['검찰개혁언론개혁.언론사들.가짜뉴스악이적인 보도허이보도징벌적손혜배상입법하고 농락하는 언론기레기들.모조리박멸국가기강을바로잡아주십시요검수완박검수분리우리가 조국이다 우리가 이긴다', 'g7보도는한국언론의썩었다썩었다 하지만 아예가치가 없다는 걸 보여줬다 생각합니다n일본 총리가외톨이취급안받았다는 게n더중요한보도가치인 한국언론.어이가 없어요', '이낙연대표님니부녀에게 조국장관님에게 사용했던성매매일러스트를쓰면언론개혁이 될까요?n물론언론이존내빨아주는 이나견이니그런보도자체가 없을 거라는 것에짜증난다n대선']"
언론,의원,2,"['징벌적손해배상죄를최강욱의원님이발의한 걸로입법해야 한다 고러더의김인수변호사님이자세히 설명하셨어요민주당 정신차리고 최강욱법안을 입법하세요 언론개혁을 빨리하십시요', '민주당 의원들아일쫌해라n검찰기소청수사청나누고n언론징벌적배상하고n판사4년임기선거로뽑게하라좀n진짜국당일본넘죽국넘보다n민주당너희들이 더짜증나려한다n일좀해', '민주당 원리원칙대로 하시고 검찰언론n개혁7월에확끈하게끝내시고n오래오래국회의원하시고 국민은n기분 좋게민주당 의원들밀어주어n서로기분 좋게정치하자']"
언론,조중동,2,"['조중동을비롯한 언론들과국힘당.n이들은 영원히이나라의수취요영원히사라져아할좀비들이 다.n조국전장관님과그분의 가족들을갖은모략과날조로재판에 회부하였다.n윤석열검찰은 역사에 다시없을', '헛소리를 그만하시라.최성해가어떤 인간인지잘를알면서록취록을 확인도않하고언론에발제하는 것이잘한처신이요?조중동과뭐가다른 데요?n이낙연을싫어하는지 알겟지만 내부총질하지맙시다.', '조중동다니는 것들중에 이걸본다면 그런파렴치하고 친일매국언론에다닌다는 것을창피한줄을알아라.나같으면창피해서 가족들이 나친척들에게 어디서일하는 지정말창피해서 말못할거같다']"
