from,to,depth,documents
"minju
in minju",대통령,1,"['뭐 조국사태 사과?초선 의원들이 대통령님께 쓴소리?총 쥐어줬더니 내부에 총질을 하냐??능력 없으니 사퇴해라느그 민주당 지지율이 대통령님 덕분인 것도 모르는 배은망덕한 무지랭이야', '검은 머리 거두는 게 아닌데노무현 대통령 등에 칼을 꽂더니 이제는 조국 장관과 문재인 대통령한테 칼질이냐?나가라 필요 없다. 덩치는 산 만한 게 하는 짓은 벼룩만도 못한 놈', '와 진짜 당신들때문에 스트레스 너무 받는다. 뭐 대통령에게 뭘 전달해??? 더민초 이것들아 정신차려 니네 대통령 아니었으면 뽑히지도 않았서. 주제도 모르고 나불대네']"
민주당,검찰,2,"['미쳤냐 민주당조국 사태라니 사과라니조국 사태가 아닌 검찰사태 검찰의 역린이다 조국을 지키지 못한 민주당이 무능한 거다 사과는 조국에게 하고 송영길은 대표직에서 빨리 사퇴하라', '당 대표 잘못 뽑아서 민주당이 산으로 가고 있다. 사과? 뭘? 잘못해서? 검찰 개혁이 죽을죄야? 욕나오네 진짜. 삽질하고 있는 민주당 의원 나리들이나 당원들 한테 사죄해라.', '문대통령님께서 지시하신 검찰개혁의 오른팔 조국장관님을 칭찬하고 최성해와 국짐당 일당과 내통하여 검찰개혁 방해한 윤석열을 공수처에 고발해야 우리 민주당 대표지 오히려 사과.']"
민주당,국민,2,"['진짜 모지리모지리어쩜 국민들180석을이렇게 멍청하게 사용하는 지진짜 답없다 국민의힘이나 민주당이나그따위로 해서 정권재창출하겠다 대통령님한테 마지막까지 이딴식으로 하는못된국개들', '펌글 문재인 대통령의 국정 지지도 40 에 육박국민의힘 35.6 1위민주당 30.5 꼴찌 민주당아 까불지마 주제넘게 정부 리드한단 소리 말고 고분고분 업혀가기나 하라고', '어제가짜기사에속아 앞뒤안재고욕한 제가부끄럽네요 그만큼 민주당 전 대표들에게 실망한점이 컷던점 양해해주세요 국민이 원하는 민주당이 되길 당대표가되시길 바랍니다']"
민주당,의원,2,"['김민주당 의원들이 김용민 의원 반만 해도 좋겠다. 김용민 의원님 사과하지 마십시오. 김용민 의원님이 아니더라도 다른 의원님께 트집잡았을겁니다. 김용민 의원님 고맙습니다. 최고에요.', '조국을 등지고 가는 민주당은 미래가 없다.180석이 모자라나? 민주당 모지리들.김용민의원만큼만 해라. 안그러면열린 민주당으로 갈아탄다.', '송씨 일부 민주당 의원들 당신들 자격지심이 민주당 다 갉아먹고 있잖아요. 이해는 해요. 이건 뭐 능력으로 보나 인성으로 보나 넘사벽인 사람을 질투하고 있으니 돌아버릴 수밖에.ㅠㅠ']"
대표,사퇴,2,"['역대 최악의 당대표 송영길 사퇴하라 송영길 사퇴하라 송영길 사퇴하라 송영길 사퇴하라 송영길 사퇴하라 송영길 사퇴하라 송영길 사퇴하라 송영길 사퇴하라', '일반국민 여론조사 점오로 대표된거 안정못함.하는짓은 더 가관. 역대 촤악의 단대표는 이해찬 하나로 끝나나했더니 못잖은 또 하나의 최악이 나타남.사퇴하기 바랍니다. 송영길 사퇴해', '조국장관 일을 왜 사과하는 데? 뭘 잘못했다고 사과를 하시나? 사과하면 민주당 대표가 아닌 국민의힘 대표가 된다.사과 반대 송영길 의원님 대표직 사퇴하고 사과를 하든가 하셔.']"
조국,사태,2,"['미쳤냐 민주당조국 사태라니 사과라니조국 사태가 아닌 검찰사태 검찰의 역린이다 조국을 지키지 못한 민주당이 무능한 거다 사과는 조국에게 하고 송영길은 대표직에서 빨리 사퇴하라', '조국사태를 사과할 것이 아니라 조국사태를 불러온 이해찬 사태를 무릎 꿇고 사죄해야지요. 지금 민주당 제 정신인가요? 송영길 당대표가 아주 당을 말아드시려고 작정을 하셨습니다.', '조국사태 사과?이 모지리 같은 것들이 나경원.윤석렬한테는 쪽도 못쓰면서 조국사태사과?송대표 무능은 진작에 알고 있었지만 이정도일줄은 몰랐네민주당 짓좀 고만하자 이제 지친다.']"
조국,언론,2,"['윤석y정치검찰 최성해 국힘당 언론 조국가족모함사건 사건 진상규명하라 조국의 시간 조국 전 장관님 책 나왔습니다. 아픔과 진실 말하지 못한 생각', '왜 조국처럼 털 까봐 무섭드나? 니들이 했어야 하는 건 조국 버리는 게 아니라 설대 연대 고대 전수조사 추진이었어. 니네 자식들 언론 검찰 포함해서 말이야.', '검찰의 난을 조국사태라 하지 마세요검찰과 언론의 공작에 희생 당하신 분에게민주당이 지금까지 뭘했다고 누구한테 사과해요?조국 전장관님께 무릎꿇고 사과하세요']"
사과,모르다,2,"['송영길이 왜 뭔데 사과를 하지??진짜 몰라서 그래요.사과는 잘못한 사람이 직접하는 게 사과아니예요?조국님이 잘못했는가?no송영길이 당사자인가?no아무것도 해당되는 게 없는데?', '부러우면너도책을써 누가사줄지는 모르겠다 진짜민주당니들그러는 거 아니다낙지사평가나하든가뭔놈의사과야사과조국장관님께 사과나해아우진짜승질뻗쳐서진짜야', '뭘 사과해야 하는 건지 모르겠기에 물어보는 데.니들이 잘못한 게 뭐냐?그것도 모르고 무턱대고 상황모면용으로 사과한건 아니겠지.설마.']"
사과,가족,2,"['사과 하면 탈당합니다.개혁을 위해 온가족이 희생당했는데 선거에서 졌다고 사과를 하냐. 문통이라면 사과 했겠나지도부는 방향성을 정확히 하시오. 사과하는 순간 분열은 시작된다', '조국가족이 뭘 잘못했는데 왜사과만 하냐팩트체크 좀 하고 사과를 하던지 말던지참 한심하다조국가족은 무죄다노무현 대통령님 한명숙총리님조국장관님등등 조작질조작질모르더냐한심하다', '왜 굳이 안해도 될 사과를 하고 그랬을까? 하긴 사과라고 하기엔 좀 이상하긴해 그리고 윤석열 가족도 조국처럼 수사하라고 했으니까 굳이 사과라고 하긴 좀 그러네']"
사과,지키다,2,"['사과를 할거면 조국전장관을 못지키고 내버린 것을 사과해야지 왜 조국사태라는 말까지 써가면서 사과하는 거지? 이러니깐 민주당이 의리도 없다는 소릴 듣는거지', '뭘 사과한구요? 윤석렬 편들고 싶은가요? 검찰개혁에 앞장선 조국을 못 지킨 걸 사과하고 제대로 검찰개혁 하세요. 그게 민심입니다.그렇지 않으면 물러나세요. 매일이 스트레스입니다.', '미쳤냐 민주당조국 사태라니 사과라니조국 사태가 아닌 검찰사태 검찰의 역린이다 조국을 지키지 못한 민주당이 무능한 거다 사과는 조국에게 하고 송영길은 대표직에서 빨리 사퇴하라']"
