,neg_words,count,documents
10,감옥,65,"['검찰개혁을 못해서 부동산이 올라갓나? 문재인 정부와 민주당의 정책과 악법때문에 올라갓잔아.원인도 파악못하는데 해결책이 나오나?윤석열 대통령 만들어주고 아들문제로 감옥에 가자', '정권 연장을 계략하고 중도인 안희정을 죄목같지 않은 성추행으로 감옥에 앉혀논 너희들은 이미꺼져 버린 촛불이다. 하루빨리 안희정 석방하고 김지은 같은 여자 심판하라.', '윤석열 니가 거길 왜 가서 윤봉길의사 명예에 먹칠해?너같은 의리없는 간신배 내로남불 조폭같은 이미지로 갈곳이 아니지? 대권은 고사하고 국민 앞에 석고대죄후 감옥가라']"
11,거짓,65,"['민주당이 실수했네 진실 또는 거짓 일지라도 선거철에 가까이 되어서 터트려야 하는데 너무 빨리 터트렸네이게 거짓일경우 민주당은 이제 끝난것 같은데', '차곡차곡 쌓아 놓았다면 불법 사찰이 맞지. 그리고 x파일은 국민의 알 권리이고 밝혀야 한다. 사실이면 후보 사퇴 하면 되는 것이고 거짓이면 고소각이다. 국민에게 사실을 알려주시오.', '준석쿤. 여권이 x파일을 만들었건 야권이 x파일을 만들었건 이런 부차적인 것보다 훨씬 중요한 것은 윤석열과 그 가족과 관련된 충격적인 의혹들이 사실인지 거짓인지 검증하는 것이다.']"
12,가짜,64,"['반포한강사건은 진실을 파헤치는 유튜버들까지 싸집아 가짜뉴스라 매도하더니 진짜 가짜뉴스 유포하는 유튜버말은 철썩같이 믿은거야? 여당당대표까지?? 정말 내로남불 오진다.', '부선언냐 가 벼르는 무상불륜 툴꼰대는 가짜검사에 이어 가짜 산부인과 의사 사칭해서 형수 확찢겠다는 분 아닌가요? 이분 도대체 정체가 뭐예요?', '홍준표는 용감했고 공정했고 합리적이었다. 이런 분이 진정한 보수다. 모래시계 검사님. 당신이 있어 보수에 희망이 있습니다. 부디 가짜보수가 설치는 지금의 상황을 정리해 주세요']"
13,망하다,63,"['홍준표는 받지 말았어야 했다. 겨우 복당하자마자 윤석열을 그대로 까대고 강한척 잘난척하는데 지가 한말이 똥인지 된장인지도 모른다. 겨우 살아난 국민의힘 망할날이 저앞에 보인다.', '울산선거 불법 사찰 불법 개입과머가 다른 데 똑같네 청화대나 민주당 이나 정권 교체되면 두고보자 진짜 빨갱이들 정리 안하면 나라 망한다 사형제도 부활 시켜서 사형 시켜야 된다', '등 떠민다고 개나소나 지가 대통령깜이라 착각 . 의리도 도덕심도 양심도 염치도 다 사라지고 탐욕만 가득한 세상. 그기에 한몫하는 무개념 국민들.출산율 뚝뚝 망할날 가깝다.']"
14,싸우다,61,"['제발 싸우지 말라. 오로지 자유민주주의 대한민국을 개판으로 난도질하고 있는 개돼지보다 못한 인간말종인 문재앙과 더불어 토착빨갱이 양아치 족속들을 싸그리 청소하는데 단결하고 집중해라', '진보 진영의 강단있는 여성 정치인 추미애 검찰개혁을 위해 목숨 걸고 싸워온 추미애 윤짜장이 아무리 털어도 먼지 하나 나지 않던 추미애 ㅡ 당신은 대통령 자격이 충분합니다.', '더블어도랐당 임자 만났네보수당을 평생 선거공작해서 괴롭히고 당선도 하고 그러더니 윤석열에게 제대로 걸렸네 역쉬 똥막대기들은 끼리끼리 싸워야 하는 법 막나니 윤썩열 잘한다']"
15,거짓말,59,"['어느 한쪽은 뻔뻔스럽게 거짓말하고잇는데 수사해서 영영 사회격리 시켯슴한다 거짓말사기 정말 진절머리난다', '같이 잦다는데 한사람은 모른다고 하고 누가 거짓말을 하는지 이런 코메디같은 일이 한국 대통령 하고 싶다는 사람의 내력입니다 형수한테 욕하고 인성이 홍준표가 말하는 대로 같습니다', '참뻔뻔한 짜장일세 이밍박시즌2냐? 이밍박도 그렇게 bbk 지꺼 아니라드만 증인이 버젓이 살아 있는데도 10원도 손해 안 끼쳤다는 새빨간 거짓말을. 짜증도 결국엔 깜빵행']"
16,죽이다,57,"['반기문 총장이 시작도 못해보고 꼬리를 내린 걸우리는 알고 있다.이것이 바로 문빨 과 좌좀들이다.저들은 정권이 바뀌면 그냥 죽이면 안됀다.세상에서 가장처첨하게 제거 되어야 한다.', '점재명이는 가짜총각 행세한 죄 형을 강제로 정신병원에 입원시키려고 한 죄 형수 성기를 찢어죽인다고 한 죄 참으로 더러운 인간 김부선씨 사기꾼 혼인빙자간음혐의로 고소하세요', '문재앙 하는 꼴을 보고도 또 좌파 찍으려는 저 20는 민주주의 국가에서 살 자격이 없음 모조리 잡아다가 삼족을 멸해야함 이 땅에 공산주의를 들이려는 악마들 쳐죽일놈들임']"
17,바보,56,"['예정된 길로 가는 거지 뭐 이리 난리들인가? 준대로 받고 남의 눈에 피는 내눈에도 피가 될 걸 몰랐다면 바보고. 동훈이는 빨리 짐 싸서 변호사질 하는 게 나을 듯. 헛물 켜지 말고', '선거철만 되면 들끓는 네거티브 국민들을 바보등신으로 보는 한심한 정치꾼들의 장난에 그동안 얼마나 많이 속았나 제발 그만해라 한심한 작태를 멈춰라 내년 대선에서는 속지않는다', '윤석열이도 참 답답하네 안철수 바보되가는거 보면서 배우는거없나 김종인영감 찿아가고 국힘에 입당했으면 간단한걸 여기저기 찿아다니고 뻘짓을 하냐 서서히 실망감이 밀려온다 .']"
18,힘들다,49,"['흐흐흐 국짐당 많이 힘들겠소. 상대방이 터트린것도 아니고 같은편에서 수류탄 아닌 폭탄을 터트렸으니 말이요. 잘 해보슈.흐흐흐 내가 뭐라했소 윤변창은 절대 될 수 없다고 하지안았소.', '21세기 이순신. 윤석열이 분명함. 오만 놈들이 자기 이익 챙기려고 공격 중인. 이순신도 처가 덕에 좀 풀렸고. 처가가 힘들게 하긴 했음. 당시 사회가 여비가 심해서 묻혔을 뿐', '걸어가는 길 이 힘들겁니다 참고견디어 꼭대권잡아 법과 원칙 상식이 통하는 사회를 만들고 빨갱이들을 한넘도 남기지 말고 색출하여 살기 좋은 대한민국을 만들어 갑시다응원합니다']"
19,무섭다,47,"['김부선 비호감이긴한데 이재명에 대한 것만은 김부선말이 맞는듯. 틀린말하는 거면 이재명이 가만히 있을 사람은 아니지. 암튼 이재명 무서운 사람이니 자살당하지 않도록 몸도심하도록.', '윤석렬이 무섭긴 무서운가보다. 국민들은 아무말 없이 기다리고 있다 니들끼리 시끄럽게 바람잡아도 국민들은 안다. 하나만 보인다 윤석렬이 대통령되면 두려운 사람들이 엄청나게 많구나', '준석아 니가 무슨 윤석열을 보호해? 애가 어른 보호하냐? 다음 주부터 윤석열 태풍불면 기자들 너 생까고 다 윤석열한테 간다. 하룻강아지 범 무서운 줄 모른다더니. 푸하하']"
