,neg_words,count,documents
15,소외,43,"['조성목 서민금융연구원장 청년 기본대출 약이 아니라 독들어봤더니 작심 인터뷰.금융정책 포퓰리즘 심각 비판청년 세대 대출소외 현상에 대안신용평가모델 개발 지원해야 너무 크기 때문이다. 철저한 토론이나 연구 공감대 형성이 기반되야 한다. 서민들을 보호하는 것처럼 포장해선 안 된다. 이재명 경기도지사가 주창한 기본대출에 대해 조성목 원장은 위험한 발상이라고 지적했다. 사진 연합뉴스 최근 기본대출을 비롯해 기본금융에', '불법 사금융 피해 신고 한 번으로 피해구제까지 경기도 24일부터 원스톱 피해 신고센터 개설 운영채무조정 재무상담 소액 대출 복지연계 등 계층이 단 한 번의 신고로 피해구제까지 지원받을 수 있는 원스톱onestop 불법 사금융 피해 신고센터를 24일부터 운영한다. 이재명 지사가 불법 대부업으로 막다른 곳에 내몰린 금융소외계층에 대한 지원 방안을 조속히 모색하고 피해자들의 신고를 활성화하도록', '경기도 불법사금융 원스톱 피해 신고센터 운영 한 번의 신고로 피해구제까지 지원받을 수 있는 원스톱 불법 사금융 피해 신고센터를 오늘 24일부터 운영한다 고 밝혔습니다.이는 이재명 지사가 불법 대부업으로 막다른 곳에 내몰린 금융소외계층에 대한 지원 방안과 피해자들의 신고를 활성화하도록 도 차원의']"
16,싸움,38,"['국민은 아무 관심 없는데.민주당 경선 일정 놓고 연일 진흙탕 싸움', '박용진 경선일정 지지부진 계파싸움 짜증유발 정치 안했으면종합', '윤석열 x파일 무대응 마이웨이. 경선연기 싸움 제코가 석자']"
17,패배,37,"['이재명 경선 연기론에 노무현도 원칙없는 승리보다 원칙있는 패배가 낫다고 말해', '대선경선 연기압박에 노무현 소환한 이재명 원칙 있는 패배 결국 이기는 길', '이재명 원칙 있는 패배가 이기는 길 노무현 소환경선 연기 불가론 재확인']"
18,걱정,30,"['이재명 한평생 국가를 걱정하셨지만 국가는 그렇게 하지 못했다', '박용진 경선 연기 지도부가 결단해야.이전투구로 보일까 걱정', '박용진 경선 연기 요구 연판장에 이전투구로 보일까봐 걱정']"
19,환자,29,"['국회 심의 앞두고 수술실 cctv 논란 가열 의료계 환자 입장 차 커', '마취 환자 주요 부위 만진 인턴 재판행수술실 cctv 도마 위', '포커스 인턴이 마취환자 성추행?수술실 cctv 찬반 논란']"
20,부정,27,"['더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '최강시사 홍익표 최재형 감사원장 특정정당 대선후보로 간다면 그간 감사원장 역할정치중립성 스스로 부정하는 것', '국민의힘 경기도당 김덕수 부위원장 의회 민주주의를 부정하는 민주당 착각 말고 반성하라']"
21,부상,27,"['x파일 논란 최재형 부상에 윤석열 지지율 주춤보수표심 이탈', '여야 대선후보 5위 오른 최재형제2의 윤석열로 부상하나', '경선 연기 갈등에 영영 갈라설라 제3의 대안 부상']"
22,짜증,26,"['박용진 경선 일정 쿨하게 정리해야연판장 세 대결 국민들 짜증만', '사설 경선 룰 내홍에 x파일까지 국민 짜증지수 높이는 정치판', '박용진 경선일정 지지부진 계파싸움 짜증유발 정치 안했으면종합']"
23,바이러스,26,"['21일 오후 9시 316명 확진.이틀 연속 300명대 예상종합2보 수도권 확진자 비율 72 .당국 코로나19 유행 감소 경향대전 일가족 8명 서산 일가족 7명 등 가족감염 사례 이어져 마련된 신종 코로나바이러스 감염증코로나19 임시선별진료소를 찾은 시민이 검체검사를 받고 있다. 2021.6.21 뉴스1 news1 이재명 기자 전국뉴스1 최대호 기자정지형 기자 신종 코로나바이러스 감염증코로나19 전국 확진자가 21일 오전 0시부터 오후 9시', '경선 일정 두고 갈등 격화 코로나바이러스 감염증코로나19으로 비대면 경선이 이뤄진다면 흥행할 수 없다는 점도 경선 연기의 근거로 꼽는다.현재 지지율 선두인 이재명 경기도지사 측은 원칙대로 해야 한다는 입장이다. 지난 4 7 재보궐 선거에서 당헌 당규를 개정해 서울 부산시장 선거', '서울 오후 6시까지 217명.음식점 종교시설 직장 감염 지속 서울 뉴스1 이재명 기자 신종 코로나바이러스 감염증코로나19 신규 확진자가 357명 발생한 21일 오후 서울 중구 서울역광장에 마련된 임시선별진료소를 찾은 시민들이 검체검사를 받기 위해 줄을 서 있다. 2021.6.21 뉴스1 서울시는 22일 자정부터 오후 6시']"
24,부담,24,"['정세균 징벌적 손배제 기자 개인 아닌 언론사에 부담 지워야', '정세균 징벌적 손배제 기자 개인 아닌 언론사에 부담 지워야 한국기자협회 대선 예비후보 초청 토론회 2 정세균 전 국무총리 발붙이지 못하겠다 시간이 흐르면 내가 원하는 집을 구입할 수 있겠구나 라는 믿음과 기대를 주려는 노력이 필요하다 고 했다. 이재명 경기도지사의 기본소득 도입 주장에는 보편적으로 기본소득 지급을 제도화하기에는 재원 마련 대책이 불분명하다 며 현', '수술실cctv해법 기본권 침해 최소화.어린이집 사례 참고도 입법 논의 과정서 개인정보 보호 조치 강화해야환자 인권 안전 확보 초점.의료진 권리침해 안돼최소한의 예방장치일 뿐 추가 제도적 보완 필요cctv 설치 유지 비용 부담 주체 명확히 규정해야어린이집 cctv 설치 의무화법과 유사할 듯 갈등 소지를 미연에 차단해야 한다는 지적도 있다. 의료계에 따르면 전국에 약 1만 개의 수술실과 분만실이 운영되고 있다. 이재명 경기도지사는 경기도 병원 한 곳당 3000만 원 수준의 수술실 cctv 설치 비용을 지원하고 있다. 이를 전국으로 확대 적용하면 무려']"
25,낭비,24,"['사 사건건 윤석열 x파일?.진성준 장성철 소장이 공개하면 될 일 박성중 윤석열 측도 공개하라고 해 진성준 본질적 처방은 집값 잡는 것 오른 집값 때문에 세 부담 과하면 완화시키는 게 도리박성중 상위 2 종부세는 국민 편 가르기 상위 2 안들어가려는 사람들 행정적 낭비 심할 것박성중 문제는 공시지가 공시지가 1년에 1015씩 올라 종부세 등 60개 세금 오르는 것진성준 올해 공시지가 높다는 것은 공시지가 현실화때문 아냐.그냥 집값이 많이 높아진 것진성준 공작정치? 공작한다면 장성철 소장이 하는 것. 장성철 소장이 문건 공개하면 될 일 박성중 윤석열 x파일? 윤석열 측도 공개하라고 해 정말 자신 있다면 본인이 공개해야 있었는데요. 먼저 의총에서 나눴던 얘기 잠깐 듣고서 말씀을 나눠보도록 하겠습니다. 경선 연기론 직접 나선 대권 주자들녹취 이재명 경기도지사원칙이라고 하는 게 그래서 중요합니다. 정치 집단에 대한 국민들의 지지는 신뢰에서 나오는 것이고 신뢰는 약속', '경기도 공공 대형공사 간접비 절감 나서. 공기단축 및 예산 효율화 기대 전국 지자체 최초로 마련 본격적인 추진에 나선다고 24일 밝혔다.이는 공정하고 합리적인 건설 환경을 조성하겠다 는 민선7기 이재명 지사의 정책의지에 따른 것으로 도민 혈세를 낭비하는 고질적 관행을 해소하는데 목적을 뒀다.간접비는 공사 기간이 계약된', '경기도 공공 대형공사 간접비 절감 나서 지자체 최초로 마련 본격적인 추진에 나선다고 6월 24일 밝혔다.이는 공정하고 합리적인 건설 환경을 조성하겠다는 민선7기 이재명 경기도지사의 정책의지에 따른 것으로 도민 혈세를 낭비하는 고질적 관행을 해소하는 데 목적을 뒀다.간접비는 공사 기간이 계약된']"
26,없애다,24,"['원희룡 실소유주 양도세 보유세 전부 없애야주택정책 근본 바꿀 것', '지지율이 고민 원희룡 본격 대권 행보양도세 보유세 전부 없애야', '원희룡 싱크탱크 원코리아 혁신포럼 출범양도세 보유세 없애야']"
27,심하다,21,"['민주당 종부세 등 오늘 결론.경선 일정은 주말까지 논의키로 경선 일정 문제도 주말까지 논의하기로 했지만 당내 반발이 심해 매듭지을 수 있을지 불투명하다. 앞서 전날 17일 비이재명 측 의원 60여 명은 연판장에 서명해 대선 경선 연기 논의를 위한 의원총회 개최를 요구했다. 고 수석대변인은 경선 일정 결론은', '차별금지법 이준석 시기상조에 이재명 원칙적으로 찬성 이 지사 논쟁 심한 부분 토론 협의 통해 사회적 합의 가능민주당 이 대표에 집중공세 .본질 회피 눈치 보기 급급 이재명 경기도지사는 19일 최근 논란이 되고 있는 차별금지법 관련 입장문을 내 원칙적으로 찬성한다고 밝혔다.뉴스1 news1 오대일 기자 경기 뉴스1 진현권 기자정재민 기자 이재명 경기도지사는 19일 최근 논란이 되고 있는 차별금지법 관련 입장문을 내', '뉴스분석여권이 윤석열 죽이기 혈안인 까닭은? 송영길 x파일 생산의혹 선긋고 대통령 되려면 조국 가족 수사보다 더 심하게 검증을 최고위원들도 타인 멸문지화하더니 본인 가족에 느슨 공세조국 추미애와 구원 유력 주자로 예정된 공격 불법 사찰 발언이 앞당긴 듯 있는 분이라고 말했다. x파일을 야권 대권 주자 간 권력 투쟁에 따른 산물이라고 몰아간 것이다. 앞서 여당 대표 대선후보자인 이재명 경기도지사도 윤 전 총장을 향해 발가벗는다는 심정으로 모든 의혹이나 질문에 대해 답해야 한다 고 밝혔다. 여기에 이날 대권']"
