,pos_words,count,documents
17,기대,51,"['경기도 공공 대형공사 간접비 절감 나서 불합리한 관행 차단 공기단축 및 예산 효율화 기대', '지역경제 경기도 공공 대형공사 간접비 절감 나선다 공기단축 및 예산 효율화 기대', '경기도 공공 대형공사 간접비 절감 나서기 공기단축 및 예산 효율화 기대']"
18,품격,46,"['경선연기 놓고 분열 이재명 그런 식으로 약팔 수 없다 정세균 말 품격 중요', '주파수on 정세균 약장수 발언 이재명 정조준.정치인의 말은 품격이 중요', '이재명 가짜약 팔던 시대 아냐 발언에 정세균 정치인은 말의 품격 중요']"
19,안정,44,"['차기 대선 경제분야 국정과제 여론조사 단독 차기 대선 1순위는 경제발전과 일자리확대 2순위 서민주거안정', '박용진 탄소세 걷어 탈탄소사회 일자리 안정에 써야이재명 직접 비판', '김성수 의원 경기도 여성가족 정책발굴 포럼 종합발표회 참석 강화 위기 아동 청소년 안정망 강화에 대해서 각 분야별 전문가들이 참여 속에 열띤 공론의 장이 마련되었다.이날 발표회에는 이재명 경기도지사 문경희 경기도의회 부의장더불어민주당 남양주2 김성수 경기도의회 여성가족평생교육위원회 부위원장더불어']"
20,혁신,44,"['정세균 출마 선언 이후 첫 행보로 규제혁신간담회.이낙연 일자리 대책 논의', '원희룡 제주지사 정책자문그룹인 원코리아 혁신포럼 출범식 가져', '원희룡 대선 싱크탱크 원코리아 혁신포럼 출범 국민의힘 우량주']"
21,발전,43,"['차기 대선 경제분야 국정과제 여론조사 단독 차기 대선 1순위는 경제발전과 일자리확대 2순위 서민주거안정', '경남도경기도 수도권과 비수도권 상생발전 위해 협력', '단독 차기 대선 1순위는 경제발전과 일자리확대 2순위 서민주거안정 이러한 경제분야 7개 항목별 국정과제를 가장 잘 수행할 것으로 기대되는 대권주자가 누구라고 생각하는지를 묻는 질문에서는 이재명 경기도지사가 평균 53.2점을 획득해 1위를 차지했다. 이재명 지사에 이어 이낙연 전 민주당 대표 42.7점 윤석열 전 검찰총장 39.3']"
22,명예,40,"['민선 7기 경기도 명예수당과 복지 기념사업 등 새로운 보훈 정책 선보여', '민선 7기 경기도 명예수당과 복지 등 새로운 보훈 정책 선보여', '경기도 명예수당과 복지 기념사업 등 새로운 보훈 정책 선보여']"
23,이루다,39,"['대한민국 정치선진화 4년 중임제 이뤄질까', '정세균 지도부 압박 당무위서 정할 수 있다는 게 법칙 정상적 절차 이뤄지면 토 달면 안 돼 반발 가능성 암시비판할 생각 없지만.추미애 윤석열 반사체 평가 부합 않은 것 같다. 당이 당규의 정신과 내용을 제대로 잘 파악해서 그대로 해줄 것으로 믿는다 고 에둘러 말했다. 정 전 총리는 이재명 지사의 가짜 약장수 발언 원칙을 지켜야 한다는 발언에 대한 의견은 무엇인가 라는 질문에는 180일 중에 다른 사유가 있으면 당무', '경선 연기론 충돌. x파일 불법 사찰 의심 정책역량이라든지 이런 것으로 흥행이 이뤄지는 것이지 경선 날짜를 조정한다 고 흥행을 우리가 보장받을 수 있겠어요? 이재명 경기지사도 본인이 직접 노무현 전 대통령을 거론하며 원칙 있는 승리보단 원칙 있는 패배를 선택해야 한다 고 강조했습니다. 앵커']"
24,강하다,38,"['정세균 강한 경제대통령 대선 출마 대기업 월급대주주 배당 3년 동결을', '정세균 미래 먹거리 만드는 강한 경제대통령 되겠다', '민주당 경선 연기 불가 기류 강해.이재명계 반색']"
25,감사,38,"['기아차노조 경기 먹거리 그냥드림 코너에 1873만원 기부.이재명 진심으로 감사', '경기도 감사로 체면 구긴 고양시 감사관.시민들 시간만 질질 끌다 jtbc참사', '고양시 킨텍스 일대 헐값 매각 논란 경기도에 감사 환영']"
26,신중,38,"['서민 수술실 cctv 신중론 이준석 비판 이재명에 그저 한숨만', '전문이재명 상위소득자도 국민 문재인 정부 국민차별 신중해야', '총리 수술실 출입구 cctv 설치 검토수술실 내부는 신중']"
27,빠르다,33,"['종합 윤석열 29일 출마 선언하며 대선판 공식 데뷔.빨라진 대선 시계', '대권 도전 나서는 윤석열 주춤하자 빠르게 치고 올라오는 최재형', '빨라지는 대선국면.이재명 수술실 cctv 설치 기본대출 집중']"
28,휴식,30,"['경기도 노동인권 토크콘서트 내가 전태일이다 개최 실태 안전한 일터와 노동 취약노동자 휴식할 권리를 위한 경기도의 노력 등을 현장노동자들과 함께 이야기를 나누게 된다. 특히 이재명 경기지사는 이날 영상 인사말을 통해 전태일 열사의 노동존중 정신과 노동인권의 중요성에 대해 강조할 예정이다. 김규식', '경기도 전태일 정신 잇는 노동인권 토크콘서트 내가 전태일이다 실태 안전한 일터와 노동 취약노동자 휴식할 권리를 위한 경기도의 노력 등을 현장노동자들과 함께 이야기를 나누게 된다. 특히 이재명 지사는 이날 영상 인사말을 통해 전태일 열사의 노동존중 정신과 노동인권의 중요성에 대해 강조할 예정이다. 김규식 노동국장', '경기도 30일 내가 전태일이다 노동인권 토크콘서트 음악 공연에 이어 산재노동자 실태 안전한 일터와 노동 취약노동자 휴식할 권리를 현장노동자들과 함께 이야기 나눈다. 경기도는 이재명 지사는 영상 인사말을 통해 전태일 열사의 노동존중 정신과 노동인권의 중요성에 대해 강조할 예정 이라고 전했다. 이번']"
29,높이다,30,"['이준석 윤석열 x파일 의미 없어민주당 압박 수위 높여', '국민 짜증지수만 높인 민주당 경선연기 의원총회 격돌', '최고위 경선연기 논의.1시간 넘게 격론 중 the300 코로나19covid19 집단면역 이후로 연기해야 한다 고 목소리를 높이고 있다. 반면 각종 대선후보 적합도 조사에서 선두를 달리는 이재명 지사 측은 원칙 있는 경선을 주장하며 경선 연기를 반대하고 있다. 민주당 당헌 제88조 제2항에 따르면 대통령 후보자 선출']"
30,도움,30,"['경기도 계약만료로 해고된 경비노동자 경기도 모니터링단 도움으로 4개월 만에 복직노동이 존중받는 공정한 세상 실현', '경기도노동권익센터 도움으로 퇴직금 700만원 찾은 20대 아르바이트 청년', '계약만료로 해고된 경비노동자 경기도 모니터링단 도움으로 4개월 만에 복직']"
31,인정,28,"['아주경제 오늘의 뉴스 종합 이준석 대통령 되고 싶다면 부족함부터 인정해야', '특별 인터뷰 이준석 대통령 되고 싶다면 부족함부터 인정해야', '아주경제 오늘의 뉴스 종합 이준석 대통령 되고 싶다면 부족함부터 인정해야 쏠린다.정치계에선 여러 차례 법안이 발의됐다가 폐기되기를 반복한 수술실 내 cctv 설치 의무화가 올해는 유력 대선 주자인 이재명 경기도지사까지 법안 처리를 촉구하고 나서면서 기존과는 분위기가 사뭇 다르다는 평가다.23일 국회 보건복지위원회 제1법안심사']"
32,축하,27,"['국립암센터 국민과 함께 하는 개원 20주년 기념식 개최온라인 생중계 동시 진행 후 세계보건기구 서태평양 지역사무국장을 비롯한 8명의 해외 유관기관장 박재갑 국립암센터 초대 원장 김민석 국회 보건복지위원장 이재명 경기도지사도 영상으로 암센터 개원 20주년을 축하했다. 이번 행사에는 국립암센터 지난 20년간의 도전과 성공의 여정을', '한 주간 온라인 키워드 단연 1위 이준석 이런 관심 드물어 상충하지는 않을 것 이라고 말한 날이기도 하다. 이 발언은 75건 인용됐고 1주간 가장 많이 등장한 발언에서 3위를 기록했다. 이재명 경기도지사가 11일 sns에서 30대 0선 대표가 제1야당을 합리적 정치세력으로 변모시키길 기대한다 며 축하한 발언은 한주간', '기본소득국민운동 아산본부 출범 국회의원을 대신하여 신재동 보좌관 등이 자리를 함께 하였으며 코로나19로 인하여 약 80여명의 최소인원만 참석하였다.그리고 이재명 경기지사를 비롯하여 강훈식 국회의원 복기왕 국회의장 비서실장 등이 축전을 보내 출범식을 축하해 주었다.아산본부 출범을']"
33,전문가,26,"['윤석열 이석준 전 국조실장 영입첫 경제 전문가', '이준석조차 아마추어냐 비판.이재명과 대비되는 의 급소뉴스원샷 총장의 경쟁자들 중엔 눈치 100단 소통 달인으로 불리는 선수급 소통 전문가들이 꽤 많다. 특히 그와 지지율 선두를 다투는 이재명 경기지사가 이 분야에선 거의 첫 손에 꼽힌다. 우군을 늘리는 그의 비책 중 하나가 경기도지사 관저에서의 식사 소통 이다', '김성수 의원 경기도 여성가족 정책발굴 포럼 종합발표회 참석 돌봄체계 강화 위기 아동 청소년 안정망 강화에 대해서 각 분야별 전문가들이 참여 속에 열띤 공론의 장이 마련됐다. 이날 발표회에는 이재명 경기도지사 문경희 경기도의회 부의장 김성수 경기도의회 여성가족평생교육위원회 부위원장 장필화 한국여성재단 이사장']"
