from,to,depth,documents
이재명,뉴스,2,"['뉴스핌 여론조사 이재용 사면 찬성.윤석열 지지층 92.8 이재명 지지층 38.5', '뉴스핌 여론조사 지지율 텃밭은.윤석열 대구 경북 56 vs 이재명 호남 36.8', '뉴스핌 여론조사 무당파의 대선후보 선호도는.윤석열 37.2 vs 이재명 20.4']"
경선,일정,2,"['송영길 대선경선 일정 9월 선출 결정 유력경선 일정 당무위 의결로 최종 확정', '민주당 경선일정 확정 불발 25일 최종 논의지지층 과반 경선 연기 반대', '민주당 경선 선관위원장 이상민 임명경선 일정 25일에 최종 확정']"
경선,정세균,2,"['정세균 경선연기 주장 지금 경선 시기 정하는 것 당헌 개정사항 아니다', '정세균 경선연기 연판장 사태에 개인 유불리 떠나 정권재창출 유리한 것 따져야', '대구 찾은 정세균 경선 연기 재차 강조 승리 고민한다면 늦더라도 제대로 해야']"
경선,이낙연,2,"['경선 연기론 밀어붙이는 이낙연 정권 재창출하려면 연기해야. 이재명 전선 구축', '경선 연기파 이낙연 정세균 이광재 22일 공동토론회 개최 이재명 전선 구축', '이재명계이낙연 정세균계 경선연기 놓고 충돌 송영길 대표 이번 주 초 결단']"
지사,주자,2,"['여의도 파일 윤석열 최재형 쌍두마차 시나리오 대응카드는? 국민의힘으로? 이에 대한 민주당의 대응카드에 시선이 쏠린다. 국민의힘이 유력주자를 하나 둘씩 확보해 나가고 있는 반면 민주당은 이재명 경기도지사에 대권 후보 지지율이 쏠려 있다. 친문주도의 민주당 입장에서는 비문성향의 이 지사가 단독 질주하는 것은 불편', '대선주자 키워드 분석 사면론 이후의 이낙연 김혜선 기자 사이다 총리 로 유명세를 탄 이낙연 전 더불어민주당 대표는 여당의 가장 유력한 대선후보였지만 약 1년 여 만에 이재명 경기도지사에 여당 대선후보 1위 자리를 내줘야 했다. 최근 6개월 간 2020.12.23.2021.06.22. sns 블로그 뉴스 등에서', '이준석 원희룡 막가파 국민 불안 이재명 협공 사진 제공 연합뉴스 오늘 제주에서 만난 국민의힘 이준석 대표와 원희룡 제주지사가 여당 대권주자인 이재명 경기지사를 막가파 등으로 부르며 협공에 나섰습니다. 이 대표와 원 지사는 오늘 제주에서 만나 전기차를 타고 50분간 이동하며 현안에 대해 의견을']"
지사,국민,2,"['2021년 6월 22일 시장 도지사 주요 일정 오세훈 서울시장 국민의힘 당 대표 및 지도부 방문 이재명 경기지사 개 식용 및 반려동물 매매 관련 제도개선 토론회', '시사스페셜 김재원 국민의힘 최고위원 이재명 지사가 후보 되면 tk에서 20 날아갈 것', '이재명 경기지사 재난지원금 전 국민 지급해야']"
지사,조사,2,"['쿠팡물류센터 이틀째 밤샘진화.실종 소방관 내일 수색종합2보 물류창고 내부에 가연성 적재물 1천620만개.부피만 5만3천 큰 불길은 잡혔지만 연기 자욱.내일 새벽께 초진 전망 수사대 등 25명으로 구성된 수사 전담팀을 구성 화재 원인과 안전조치 미준수 사항 등을 조사할 계획이다. 경남을 방문 중이던 이재명 경기지사는 고성군과의 교류 협약식 일정을 취소하고 이날 오전 1시 30분께 화재 현장을 찾아 진화 상황을 점검했다. 한편 쿠팡', '윤석열 32.3 이재명 22.8최재형은 단숨에 6위로 점프 정치 논란 끝에 대변인이 전격 사퇴하고 x파일 논란이 불거진 윤석열 전 검찰총장이 여야의 차기 대선주자 선호도 조사에서 이재명 경기지사와의 격차가 줄어들면서 지지율이 낮아진 것으로 나타났다. 반면 야권에서 윤 전 총장의 만일의 사태에 대안으로 인식', '이재명 상승해 27 vs 윤석열 하락해 20 차기 대권 주자 여론조사에서 이재명 경기도지사와 윤석열 전 검찰총장 간 지지도 격차가 크게 벌어졌다.24일 나온 엠브레인퍼블릭 케이스탯리서치 코리아리서치 한국리서치 조사 전국 지표조사nbs 6월 4주차 조사 결과에 따르면 이재명 지사는 27 윤석열 전']"
지사,후보,2,"['최강시사 백혜련 추미애 박용진 후보도 경선원칙론이재명 지사 통큰 양보 로 합의될 문제 아냐', '시사스페셜 김재원 국민의힘 최고위원 이재명 지사가 후보 되면 tk에서 20 날아갈 것', '대선 출마 양승조 충남지사 민주당 대선후보 적합도 충청권 지지율 4위']"
경기도,영결식,2,"['순직 김동식 소방령 영결식 21일 경기도청장 으로 거행.이재명 지사 장의위원장 맡아', '경기도 고 김동식 소방령 영결식 경기도청장 으로 엄수', '이천 물류센터 화재로 순직한 김동식 소방령 영결식 21일 경기도청장 엄수']"
경기도,김동식,2,"['경기도 이천 화재현장서 순직한 고 김동식 소방령 21일 경기도청장 거행녹조근정훈장 추서', '순직 김동식 소방령 영결식 21일 경기도청장 으로 거행.이재명 지사 장의위원장 맡아', '경기도 고 김동식 소방령 영결식 경기도청장 으로 엄수']"
