0,1,2,3,4,5,6,7,8,9,10
산불,동해안,영동,산림,양양군,논산,진화,천리,일출,등지,창고
단계,두기,거리,시설,방역,금지,수도권,실내,체육,영업,사회
임신,석씨,접종,휴가,출산,백신,예방접종,병원,수면,구급차,센터
전씨,압류,연희동,본채,별채,이순자,검사,재산,전두환,전화,주말
자사고,고교,세화고,배재고,학점,학교법인,외고,국제고,신일고,숭문고,배재학당
사격,헬기,신부,전두환,조비,사자,회고록,민주화,명예훼손,거짓말쟁이,사탄
기온,영하,아침,추위,한파,황사,기상청,도로,최고,내일,북부
진자,코로나,검사,감염,혐의,경찰,검찰,방역,총장,단계,징계
