0,1,2,3,4,5,6,7,8,9,10
민주당,대통령,추미애,장관,생각,응원,이재명,조국,사람,개혁,우리
국민,사람,인간,진짜,대통령,검사,줄리,범죄,정의,정부,나라
도리,윤석열,조국,검찰,언론,가족,십원,정치,출마,짜장,조작
