channel,url,date,user_text,domain
딴지방송국,https://www.youtube.com/watch?v=JoJMCckT_Ms,2021-06-30,재산분할간단하고..불행중다행천운입니다.\n뒤도보지말고얼른달아나세요.,youtube
딴지방송국,https://www.youtube.com/watch?v=JoJMCckT_Ms,2021-06-30,타인을만나서평생을함께산다는자체가\n경의로운일인듯해요구지이혼하고또결혼할필요가있을까요?,youtube
딴지방송국,https://www.youtube.com/watch?v=JoJMCckT_Ms,2021-06-30,예민좋아하시네.그냥진상이에요.,youtube
딴지방송국,https://www.youtube.com/watch?v=JoJMCckT_Ms,2021-06-30,그러게요.예민을이유로짜증내던배우자로부터해방을축하드립니다,youtube
딴지방송국,https://www.youtube.com/watch?v=JoJMCckT_Ms,2021-06-30,17:00손문선,youtube
딴지방송국,https://www.youtube.com/watch?v=JoJMCckT_Ms,2021-06-30,박지희분노대폭발ㅋㅋ,youtube
딴지방송국,https://www.youtube.com/watch?v=JoJMCckT_Ms,2021-06-30,남자잘못은사람보는눈이없었다는거.(사연으로만봐서는웬지얼굴에혹했었을듯)\n여자가먼저이혼하자고얘기한게뭔가뒤에딴게있을거같은느낌.\n박지희말대로남자분빨리빠져나오시길,youtube
딴지방송국,https://www.youtube.com/watch?v=JoJMCckT_Ms,2021-06-30,잘못한거없고...아니야!넌잘했고..다른여자를만나라..니아내가문제다..,youtube
딴지방송국,https://www.youtube.com/watch?v=JoJMCckT_Ms,2021-06-30,예술가는..\n본인작업에예민해야죠...\n타인에만예민한건...\n병이죠..,youtube
딴지방송국,https://www.youtube.com/watch?v=JoJMCckT_Ms,2021-06-30,아내분의인물이남편보다더나을듯합니다\n이혼후에또다른사람을만날수있을지걱정이많으신듯하네요!\n좋은사람다시만날수있습니다,youtube
딴지방송국,https://www.youtube.com/watch?v=JoJMCckT_Ms,2021-06-30,여기는답을알고있을것같아...\n언제왜결혼을해야하나요???ㅎㅎㅎㅎ,youtube
딴지방송국,https://www.youtube.com/watch?v=JoJMCckT_Ms,2021-06-30,다시뭘잘해보나?시작해봐야도돌이표다.너무안맞는사람이다.끝내라.,youtube
딴지방송국,https://www.youtube.com/watch?v=JoJMCckT_Ms,2021-06-30,실력이없으면예민해요.주워본것은많고머리속에있는것을표현할능력은안되니당연히예민할수밖에없죠.소위말하는예민타령하는예술가들실력없는경우가많습니다.예술만해서한가정을꾸릴수있는능력이되는예술가들이진정한실력자들입니다.사연속여자는실력도없고가정을꾸릴능력도안되는걍일반인입니다.,youtube
딴지방송국,https://www.youtube.com/watch?v=JoJMCckT_Ms,2021-06-30,나도소위예술밥먹고살지만..진짜예민한사람들너무많음..나부터가재수없는데..다른사람들은....고로부모님들은현자다..추신:예술가인척좀하지마라~~~그래서예민한거다.,youtube
딴지방송국,https://www.youtube.com/watch?v=JoJMCckT_Ms,2021-06-30,이넓은세상에좋은여자얼마든지많은데왜저런이상한여자와평생을하려고하세요\n쓰레기는버리는거에요,youtube
