0,1,2,3,4,5,6,7,8,9,10
문화유산,인류,유산,행사,위원회,문화,국가,대표,보존,우리나라,정부
감독,미나리,윤여정,후보,미국,영화,아카데미,배우,시상식,오스카,골든글로브
전시,지원,생각,아트,작품,아버지,예술,사람,제작비,배경,계획
방탄소년단,빌보드,아이,그래미,감독,다이너마이트,캐릭터,드라마,영화,기록,무대
강조,독립영화,이야기,할리우드,전국,작업,시작,기록,조성,진행,전시
미국배우조합상,평단,오스카상,매년,중인,시대,비롯,미래,이유,시사회,조성
윤여정,영화,배우,한국,시상식,사람,미나리,한예리,작품,여우,아카데미
작품,대상,남녀,라미란,후보,효과,배우,애니메이션,주연,최고,세계
