0,1,2,3,4,5,6,7,8,9,10
출마,선언,윤석열,이재명,대선,지사,민주당,공식,대해,주자,조국
의원,윤석열,총장,출마,국민,참석,회견,선언,요약,거나,윤봉길
윤석열,출마,선언,대선,노동자,민주,김건희,검증,이낙연,다음,노총
