0,1,2,3,4,5,6,7,8,9,10
혐의,경찰,재판,선고,주택,서울,조사,사건,지원,아파트,징역
경기,선수,손흥민,토트넘,한국,감독,시즌,리그,기록,구단,시간
후보,의원,국민,민주당,대표,선거,대통령,서울시장,국회,서울,라며
통해,사업,직원,위해,배우,개발,공개,지난,박수홍,계획,사람
검찰,대한,사실,장관,대해,대통령,법무부,징계,총장,주장,의혹
백신,코로나,접종,미국,정부,북한,대통령,바이든,영국,중국,우리
진자,코로나,감염,방역,단계,검사,지역,시설,발생,거리,두기
시장,미국,기업,상승,투자,거래,지수,올해,지난해,주가,가격
