from,to,depth,documents
"윤석열 출마
in youtubeissue_02",언론,1,"['검찰개혁언론개혁.언론사들.가짜뉴스악이적인 보도허이보도징벌적손혜배상입법하고 농락하는 언론기레기들.모조리박멸국가기강을바로잡아주십시요검수완박검수분리우리가 조국이다 우리가 이긴다', '우리나라언론의 자유가 세계top클라스다.n그런데언론의 신뢰성은바닥이란다.n무얼의미하는지 모르는 사람이 너무 많다.n그러니썩렬이가 아직건재한거지.', '적패언론들이 방패막이될거라는 걸믿고 있는 것 같아요.지난번보궐선거에서 언론들이 후보자들의 부패의혹을 국민들에게 잘 알려주지 않아서인것 같아요.']"
대통령,후보,2,"['홍남기도대통령나오나?윤짜장.최재형.문재인 정부 내내공직에 있던넘들이 공직이뭐하는 곳인지개념도없이뒷퉁수만치다치다.국짐당대통령 후보로??인사추천한넘이누군지.깊이반성하고 있기는 한가?', '어느공물원들이 중도하차하고 민주진영에 대통령 후보로 나와도이젠할말없을 거다국짐당아뭐하니입다물고뭐하니불의를 보고도내편인양입다물고 있니', '대한민국 대통령 후보기자회견정말한심합니다 두리뭉실횡설수설동문서답도리도리울석열대선후보님']"
대통령,대한민국,2,"['동네한바퀴야비한대통령꿈대통령하겠다고 하신 분이한가정을 그렇게몰살시켜도되는지 그분도대한민국 국민인데나와서뭘하실건지아님국민도발밑에때만큼 우스워보이는 지좌괴감듭니다.', '대한민국에윤씨같은 사람이 대통령으로 추대받아야 합니까?n이정부가죽도록싫어하는 사람들은 아무나상관없다고 생각하는 모양인데 그사람하나하나따저서생각해보십시오그집안참존경스럽죠?', '대통령병전염병이돌고 있네n제일상태가 심한윤석열최재형지금치료안되면불치병으로 된다n불쌍한인간들깨시민이뭉쳐서 치료해주자n처방전은 대한민국 미래는이재명과추미애가답이다']"
대통령,이재명,2,"['여러분들멍청이들아대통령의뜻이지 그게홍남기의고집?차마대통령에겐욕을못하지?바보들.이모든 게문재인의 마음이요이재명의뜻대로될까봐그런 거지.', '나는한걸음 더나가윤도리는 중간에 떨어져 나가대선에서 신당으로 나온다.그래서 어쩔 수 없이더민당이어 부지리.대선먹고총선서대패.의그림을 그려본다.이재명은임기중대통령중임제로 개헌간다', '대통령병전염병이돌고 있네n제일상태가 심한윤석열최재형지금치료안되면불치병으로 된다n불쌍한인간들깨시민이뭉쳐서 치료해주자n처방전은 대한민국 미래는이재명과추미애가답이다']"
대통령,정치,2,"['윤석열이머리가 안 좋기는 안 좋은 가보네n대통령께서 그리말씀을 하셨거늘n민주주의가밥이다n정치와 경제는 따로일수가 없다.정치가썩으면경제는 반드시썩는다.국민의 삶도썩는다', '도리도리윤석열수준 이대통령이 되다면개가웃을일이다 정치도모르는 사람이 어떻게 대통령하겠다 고 너덜대는지 이해안가는데', '새날역시 오늘 토크가 좋네요 n본인을정치로 이끄신김대중대통령님닮아서일까n추장군님은그냥정치인이 아닌정말큰사람이군요n대의를품고사람을 높이는 세상을 만드실거라믿습니다']"
윤석열,가족,2,"['줄리와 장모윤석열가족의 비리부터 말하고 정부를탓해야지어마어마한 자기가족의 비리는덮어질 것 같은가자기양심을속이고 어떻게 대통령희보로 나오는 건 아주생각이 없는바보같은짓이다', '조국장관이 검찰개혁한다 기에온가족을도륙했고진행 중이다 윤석열또한 조국가족털듯이모든 범죄의혹에 대해똑같이 보도하고 털어야공정이다', '윤석열은정신병이있는 듯하다.무고한조국가족을사모펀드니뭐니 하면서 무슨편집증거린사람처럼 한가족을 괴롭혔으니 말이다.']"
윤석열,일본,2,"['윤석열뇌구조가 의심스럽다좀모자라보이고초딩도저러지 않겠다지하에서 윤봉기의사가통곡하겠네일본을 위해서 나온거같다나경원윤석열일본으로 가라', '우리나라에잇는일본 간첩은일본문부성장학금받은 사람들이 거의다간첩이라는 데윤석열아버지가 일본문부성장학금1호엿지.그뿌리가 어디가겟어', '윤석열이가적폐들폭망시키려일부러n일본두둔한거같다n죽수는얘기만골라서하고 있으니.n윤봉길의사님n대성통곡하실겁니다n친일파후손윤석열n구속이답이다n조.중.동해체']"
윤석열,장모,2,"['장모재판에윤석열을증인으로 불러서확인할 필요가 있어 보임.사위를증인으로 불러서장모범죄를 확실하게 입증해야.딸을증인석으로 부르는 것은패륜적으로 보이니.이것이 최소의공정아니겠는가?', '줄리와 장모윤석열가족의 비리부터 말하고 정부를탓해야지어마어마한 자기가족의 비리는덮어질 것 같은가자기양심을속이고 어떻게 대통령희보로 나오는 건 아주생각이 없는바보같은짓이다', '도저히.윤석열발언두고못보겄다.이명박근혜때가독재지.공정얘기할려면.장모.마누라.한동훈을수사했어야지.석열아국민을개돼지로보지마라']"
윤석열,대선,2,"['그냥아닌척하던 일베마인드들은 개소리암거나 하면서 국힘찍을거임n윤석열지지율은 그냥국힘에서 대선주자내는순간거품처럼 사라짐n국힘들어간다고윤서열이대선주자로될리도없고', '대한민국소위우파들의저급함얼굴만바꿔가며막말페레이드젊어지나마나참한결같아그쪽은보기도듣기도싫어요.거기다 야당 대표대선 출마준비최재형이나윤석열이나그간의 정치적 행태다 이유가 있었네', '윤석열같은 인물이대선후보로 나온 것도.n민주당 집행부의 재난지원금선별지급노선도.n아직도조국과그가족이고 작동양대표창장으로 재판을 받고 있는 현실도.n답답하고속상하고.ㅠㅠ']"
민주당,의원,2,"['민주당 국회의원들이 정치현안에입닫는이유를이탄희의원님은당인으로서위치를 말하십니다 만제가 볼 때검찰쿠테타에는닥치고 있다 가숟가락얹기는잘하던데요?이게그냥당인이기 때문에로설명되나요??', '징벌적손해배상죄를최강욱의원님이발의한 걸로입법해야 한다 고러더의김인수변호사님이자세히 설명하셨어요민주당 정신차리고 최강욱법안을 입법하세요 언론개혁을 빨리하십시요', '이탄희의원은완곡하게 말씀하시지만 결국 민주당수박들이 문제라는 거죠국민주권국가에서 국회의입법권을 행정부법원의 일개늘공따위가거스를수 있어요??수박 들이 문제죠']"
