,pos_words,count,documents
11,배우다,33,"['참야당지지하는 사랑들이해가 안돼못배운나같은 사람도어디가옳고그른지알것는데도데체윤석렬이대권 도전한다고 하니무슨나라를 구원하는 사람처럼환호하는 것보면참한심하기짝이없네', '사람이 높은 세상n여.야.를막론하고 인성이바닥인사람은n대통령으로 나와서는 안 됩니다.n추미애화이팅nn윤도리야고개는추미애장관처럼 돌리는 거다좀배워라', '따지고 말하기도싫다.정치더럽게배우고등판하는 구나.대한민국야당 정치가 점점일본우익처럼 무능하고 남탓만하니.이번에는 이재명이되겠구나.이재명빼고깜이없네']"
12,능력,31,"['공무원시험준비오래한사람이박탈감느낀다는 말은약간공감은하지만 그게공정하지 않다고 생각하는 건절대동의못합니다.n공개오디션으로능력검증받았다 고도 할 수 있습니다.n동아일보에사주딸이들어가고', '홍준표 의원윤석열비판하면야당망한가뭉처야나라 국민살길이다 여당본밭없라야당홍의원지지율모리냐국민들똑똑한줄알라공직사람능력 있으면 대통령하지홍 의원프로모르냐혼자잘낫냐????여당심판하라', '일반적인 공무원은 능력실적주의와신분이보장되는 직업공무원제의 공무원을 말하고 정무직공무윈은속된말로임명권자가 필요하면쓰는 거다.서로 다른 두 가지를 놓고평등타령???새대가리들인가']"
13,좋아하다,28,"['이동은어디서정무적판단이라는 이미지정치툴을들고와서는.화장떡칠한것사람들이 안좋아해요.님이나 대단한 것으로 착각하지.쇼하는 걸이미 수십년봐왔는데또쇼하라고훈수두는 게 이동형.', '또올리게 되네요발언점유율박시영97양변호사님2아나운서분1양변호사님아나운서분말좀하려면끊어버리고안되면목소리크게해서라도끊어버리네요좋아하는 시사인데ㅠㅠ안진걸소장님화이팅입니다', '윤석열n니가양심있는 인간이냐n야어디서대통령출마를해최대한 문재인데통령n정도는되어야지n원희룡n그입다물어n너아무리 언론타려고n말막해도너좋아하는n사람없어n꼽갑떨지마']"
14,친구,28,"['세상살다힘들 때옆에 있는 사람이 진정한 친구입니다.즉그동안의 친구는 친구가 아니었던 겁니다.힘내십시오.', '친구들욕할것 없는 게.만약에조민유리한증언하면그친구는 물론 그가족들까지 검찰이 가만놔뒀을까?민주당 이나 대통령도 아무것도안하는 모습을뻔히보면서.', '과도한 경쟁으로 친구를증오하지 않는 나라.꼭이루어지길.n내신과수행은반친구를 누르고 올라야하는 방식.n친구를친구로대할 수 있는 세상이오길.']"
15,인정,27,"['이동형작가님은정말최고 최고n똑똑해잼있어섹쉬해정시렵지n어려운 사람에게 인정도 있고n지n정말버릴데가없는 우리이작가님n건강정말정말 잘지키셔야하는n우리의보물보물입니다', '맞아요.난교과서만 가지고 공부했는데.시험은과외를해야잘볼수 있게출제되어망함. .근데.과외안하고 서울대간친구들이 있어서능력이안됨은인정.', '민주당이것들뱃돼지가불렀구먼.이러니구김당에서 앞에서 민주당욕하지.n청와대도말을 해야 한다.성장율이뭐가뭐??국민의희생을 인정한다 면서.']"
16,정상,27,"['민주당도 지금의 사태에 책임이 있습니다 지금이 정상입니까???너무너무 이해가 안 됩니다뭐하고 있습니까????지금장난하고 있습니까?180석.왜주었넌지깊이생각하세요', 'n이런 비정상의 국가사회를탈출하는 것이 최선의 길이며 그의 중심에는 국가의 정치 경제법치등의 모든 분야를 최우선으로 개선이 나변화가 아닌척결이답이라고 본다', '임은정검사는 자기검열하는 우를범하지 말고과감하고 집요하게 적폐개검들을정상화시키는데 전념해야 합니다.양심세력의 최대의적은과도한 자기검열과결백증입니다.']"
17,재미,23,"['유튜브에서 배인재검색하면 재미 있는 주식전망과영어배우기동영상있어요 공매도 세력들에게 동학개미의힘을 보여줍시다', '소녀상차량으로 위협해서뉴스에 나왔던n그인간인가요?그러면서 재미 있다고쳐웃던징그러운 인간.소름 끼치네진짜.', '이 이제이는 공중파에서 해야 한다 고 강력히주장합니다 세상에 이렇게재미 있고유익한 프로가또어디 있읍니까']"
18,재밌다,21,"['김성회님자주방송에서뵀으면 좋겠어요 정말유쾌하고쏙쏙귀에박힙니다 너무 재밌게 방송해주셔서 감사합니다', '이동형은항상옳다.n박지훈은재밌다.n최진봉은웃기다.n김태현은멋지다.n이이제 이 너무 좋아요.화이팅', '김성수씨차분하게 하면 안들을 거임.큰소리로흥분하시는 게 시청하는 저도더공감되고재밌어요']"
19,사모,20,"['전참여연대김경률씨의 인터뷰를 요청합니다.이번 대법원 판결을 어떻게 생각하는 지?그는 지속적으로 사모펀드에조국교수가 관여했다고 아야기하고 있다.', '조응천역시윤십원졸개였구나 하찮은수박주제에조장관능욕하려다딱걸렸구나사모펀드무죄나왔는데 보복기소한윤십원한테 사과하라해봐라응천', '진짜100군데압수수색하고 그난리를 피우더니 그렇게 자신있던 사모펀드는무죄고수사도 안하고 기소먼저할때부터 알아봤다']"
20,멋지다,20,"['울태현기자님. n너무 멋지십니다 nn방송부적격??? n넘멋지고귀여워서부적격???n듬직하고 우직해서 적격 n헤어스타일멋지게 바뀌셨어요.n잘어울려요', '추장군님대선공약너무훌륭하십니다 교육개혁평화통일정말창의적이고멋진공약이십니다 혹시이번에 되지 않드라도반드시차기에는 대권을 잡기 바랍니다 존경합니다', '이동형은항상옳다.n박지훈은재밌다.n최진봉은웃기다.n김태현은멋지다.n이이제 이 너무 좋아요.화이팅']"
21,이루다,19,"['독재정권안봐도알겠다n일본으로 가거라n공정같은 소리하네n민주주의파괴자들물러가라n정치검찰일뿐입니다 검찰개혁반드시 이룹시다징벌적손해배상입법통과꼭이뤄져야 합니다', '대통령께서 경제발전에 모든 것을 이루고 발전하는 최고의 리더대한민국 정치를 비판하는 대권주자가 더 큰 비전을 발표를 못한윤짜장님', '건희는 그래도 가장 가까이꿈을 이룬사람이다.rn영부인에가장 가까이가 본쥴리rn세상의쥴리여rn꿈은이루어진다']"
